Year,Position,Artist,Song Title
1965,1,Sam The Sham and The Pharaohs,Wooly Bully
1965,2,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch)
1965,3,Rolling Stones,(I Can't Get No) Satisfaction
1965,4,We Five,You Were On My Mind
1965,5,Righteous Brothers,You've Lost That Lovin' Feelin'
1965,6,Petula Clark,Downtown
1965,7,Beatles,Help!
1965,8,Herman's Hermits,Can't You Hear My Heartbeat
1965,9,Elvis Presley,Crying In The Chapel
1965,10,Temptations,My Girl
1965,11,Beach Boys,"Help Me, Rhonda"
1965,12,Roger Miller,King Of The Road
1965,13,Jewel Aikens,The Birds And The Bees
1965,14,Mel Carter,"Hold Me, Thrill Me, Kiss Me"
1965,15,Jr. Walker and The All Stars,Shotgun
1965,16,Sonny and Cher,I Got You Babe
1965,17,Gary Lewis and The Playboys,This Diamond Ring
1965,18,Ramsey Lewis Trio,"The ""In"" Crowd"
1965,19,Herman's Hermits,Mrs. Brown You've Got A Lovely Daughter
1965,20,Supremes,Stop! In The Name Of Love
1965,21,Righteous Brothers,Unchained Melody
1965,22,Herman's Hermits,Silhouettes
1965,23,Seekers,I'll Never Find Another You
1965,24,Jay and The Americans,"Cara, Mia"
1965,25,Byrds,Mr. Tambourine Man
1965,26,Sounds Orchestral,Cast Your Fate To The Wind
1965,27,Barbara Mason,"Yes, I'm Ready"
1965,28,Tom Jones,What's New Pussycat?
1965,29,Barry McGuire,Eve Of Destruction
1965,30,McCoys,Hang On Sloopy
1965,31,Beatles,Ticket To Ride
1965,32,Bert Kaempfert and His Orch.,Red Roses For A Blue Lady
1965,33,James Brown and The Famous Flames,Papa's Got A Brand New Bag
1965,34,Wayne Fontana and The Mindbenders,Game Of Love
1965,35,Shirley Ellis,The Name Game
1965,36,Petula Clark,I Know A Place
1965,37,Supremes,Back In My Arms Again
1965,38,Barbara Lewis,Baby I'm Yours
1965,39,Kingsmen,The Jolly Green Giant
1965,40,Patti Page,"Hush, Hush, Sweet Charlotte"
1965,41,Bob Dylan,Like A Rolling Stone
1965,42,Freddie and The Dreamers,I'm Telling You Now
1965,43,Gerry and The Pacemakers,Ferry Cross The Mersey
1965,44,Righteous Brothers,Just Once In My Life
1965,45,Johnny Rivers,Seventh Son
1965,46,Herman's Hermits,"I'm Henry VIII, I Am"
1965,47,Horst Jankowski,A Walk In The Black Forest
1965,48,Yardbirds,For Your Love
1965,49,Beach Boys,California Girls
1965,50,Moody Blues,Go Now
1965,51,Shirley Bassey,Goldfinger
1965,52,Billy Joe Royal,Down In The Boondocks
1965,53,Glenn Yarbrough,Baby The Rain Must Fall
1965,54,Dave Clark Five,Catch Us If You Can
1965,55,Beatles,Eight Days A Week
1965,56,Beau Brummels,Just A Little
1965,57,Ian Whitcomb,You Turn Me On
1965,58,Marvin Gaye,I'll Be Doggone
1965,59,Gary Lewis and The Playboys,Save Your Heart For Me
1965,60,Kinks,Tired Of Waiting For You
1965,61,Gary Lewis and The Playboys,Count Me In
1965,62,Kinks,All Day And All Of The Night
1965,63,Jackie DeShannon,What The World Needs Now Is Love
1965,64,Tom Jones,It's Not Unusual
1965,65,Sir Douglas Quintet,She's About A Mover
1965,66,Sam Cooke,Shake
1965,67,Herman's Hermits,Wonderful World
1965,68,Martha and The Vandellas,Nowhere To Run
1965,69,Yardbirds,Heart Full Of Soul
1965,70,Searchers,Love Potion Number Nine
1965,71,Dickle Lee,Laurie (Strange Things Happen)
1965,72,Sonny and Cher,Baby Don't Go
1965,73,Turtles,It Ain't Me Babe
1965,74,Zombies,Tell Her No
1965,75,Peter and Gordon,I Go To Pieces
1965,76,Vic Dana,Red Roses For A Blue Lady
1965,77,Patty Duke,Don't Just Stand There
1965,78,Miracles,The Tracks Of My Tears
1965,79,Brenda Lee,Too Many Rivers
1965,80,Dave Clark Five,I Like It Like That
1965,81,Bobby Goldsboro,Little Things
1965,82,Peter and Gordon,True Love Ways
1965,83,Four Tops,It's The Same Old Song
1965,84,Fortunes,You've Got Your Troubles
1965,85,Joe Tex,Hold What You've Got
1965,86,Animals,We Gotta Get Out Of This Place
1965,87,Beau Brummels,"Laugh, Laugh"
1965,88,Rolling Stones,The Last Time
1965,89,Lovin' Spoonful,Do You Believe In Magic
1965,90,Cher,All I Really Want To Do
1965,91,Little Anthony and The Imperials,Take Me Back
1965,92,Strangeloves,I Want Candy
1965,93,Miracles,Ooo Baby Baby
1965,94,Sonny,Laugh At Me
1965,95,Roy Head,Treat Her Right
1965,96,Jack Jones,The Race Is On
1965,97,"Dino, Desi and Billy",I'm A Fool
1965,98,Ad Libs,The Boy From New York City
1965,99,Del Shannon,Keep Searchin'
1965,100,Marvin Gaye,How Sweet It Is (To Be Loved By You)
