inst#,actual,predicted,error
1,0,0.244,0.244
2,1,0.668,-0.332
3,0,-0.004,-0.004
4,0,0.006,0.006
5,0,0.007,0.007
6,0,0.011,0.011
7,0,0.005,0.005
8,0,-0.013,-0.013
9,0,-0.01,-0.01,
10,0,-0.015,-0.015
11,0.2,0.142,-0.058
12,0,-0.015,-0.015
13,0,-0.003,-0.003
14,0,-0.004,-0.004
15,0,0.003,0.003
16,0.2,0.015,-0.185
17,0,0.025,0.025
18,0.2,-0.017,-0.217
19,0,0.004,0.004
20,0,0.012,0.012
21,0,0.028,0.028
22,0,0.035,0.035
23,0,0.021,0.021
24,0,-0.019,-0.019
25,0,0.026,0.026
26,0,-0.014,-0.014
27,0,0.015,0.015
28,0,0.034,0.034
29,0,0.006,0.006
30,0,-0.005,-0.005
31,0,-0.017,-0.017
32,0,0.284,0.284
33,0,-0.009,-0.009
34,0,0.038,0.038
35,0,0.012,0.012
36,0,-0.001,-0.001
37,0,-0.009,-0.009
38,0,-0.01,-0.01,
39,0,-0.027,-0.027
40,0,0.012,0.012
41,0,0.023,0.023
42,0,0.025,0.025
43,0,0.019,0.019
44,0,0.019,0.019
45,0,0.022,0.022
46,0.2,0.048,-0.152
47,0,0.028,0.028
48,0,-0.019,-0.019
49,0,-0.025,-0.025
50,0,0.01,0.01,
51,0,-0.007,-0.007
52,0,0.032,0.032
53,0,-0.025,-0.025
54,0,-0.007,-0.007
55,0,0.01,0.01,
56,0,0.023,0.023
57,0,0.008,0.008
58,0,0.029,0.029
59,0,-0.002,-0.002
60,0,0.016,0.016
61,0,-0.024,-0.024
62,0,-0.017,-0.017
63,0,0.022,0.022
64,0,0.002,0.002
65,0,0.021,0.021
66,0,-0.004,-0.004
67,0.2,0.242,0.042
68,0,0.021,0.021
69,0,0.025,0.025
70,0,0.02,0.02,
71,0,0.019,0.019
72,0,0.019,0.019
73,0,0.003,0.003
74,0,-0.006,-0.006
75,0,0.034,0.034
76,0,-0.003,-0.003
77,0,0.002,0.002
78,0,0.002,0.002
79,0,-0.036,-0.036
80,0,0.084,0.084
81,0,0.001,0.001
82,0,0.013,0.013
83,0,-0.02,-0.02,
84,0,0.013,0.013
85,0,0.013,0.013
86,0,0.017,0.017
87,0,0.034,0.034
88,0,0.004,0.004
89,0,-0.03,-0.03,
90,0,-0.019,-0.019
91,0,0.012,0.012
92,0,0.086,0.086
93,0,0.067,0.067
94,0,-0.008,-0.008
95,0,0.027,0.027
96,0,0.022,0.022
97,0,0.022,0.022
98,0,0.022,0.022
99,0,-0.003,-0.003
100,0,-0.024,-0.024
101,0,0.011,0.011
102,0,-0.046,-0.046
103,0,-0.027,-0.027
104,0,-0.008,-0.008
105,0,0.01,0.01,
106,0,0.014,0.014
107,0,0.039,0.039
108,0,0.157,0.157
109,0,0.002,0.002
110,0,-0.016,-0.016
111,0,-0.004,-0.004
112,0,0.013,0.013
113,0,-0.004,-0.004
114,0,0.045,0.045
115,0,0.013,0.013
116,0,-0.002,-0.002
117,0,0.019,0.019
118,0,0.023,0.023
119,0,0.013,0.013
120,0.2,0.028,-0.172
121,0,0.004,0.004
122,0.2,-0.002,-0.202
123,0,0.011,0.011
124,1,0.173,-0.827
125,0,0.021,0.021
126,0,-0.006,-0.006
127,0,0.077,0.077
128,0,-0.006,-0.006
129,0,0.027,0.027
130,0,0.005,0.005
131,0,-0.018,-0.018
132,0,0.04,0.04,
133,0,0.01,0.01,
134,0,0.013,0.013
135,0,0.001,0.001
136,0,0.011,0.011
137,0,0.09,0.09,
138,0,0.012,0.012
139,0,0.012,0.012
140,0,0.006,0.006
141,0,-0.002,-0.002
142,0,0.03,0.03,
143,0.2,0.008,-0.192
144,0,-0.021,-0.021
145,0,-0.012,-0.012
146,0,-0.004,-0.004
147,0,-0.028,-0.028
148,0,0.011,0.011
149,0,-0.027,-0.027
150,0,-0.045,-0.045
151,0,-0.03,-0.03,
152,0,0.05,0.05,
153,0,-0.002,-0.002
154,0,0.014,0.014
155,0,0.006,0.006
156,0,-0.013,-0.013
157,0,0.015,0.015
158,0,-0.002,-0.002
159,0,0.017,0.017
160,0,-0.011,-0.011
161,0,0.028,0.028
162,0,0.024,0.024
163,0,0.104,0.104
164,0,-0.005,-0.005
165,0,0.002,0.002
166,0,0.027,0.027
167,0,0.014,0.014
168,0,0.002,0.002
169,0,0.014,0.014
170,0,-0.005,-0.005
171,0,0.022,0.022
172,0,0.115,0.115
173,0.2,0.028,-0.172
174,0.2,0.024,-0.176
175,0,-0.01,-0.01,
176,0,-0.006,-0.006
177,0,0.008,0.008
178,0,0.009,0.009
179,0,-0.009,-0.009
180,0,-0.003,-0.003
181,0,0.011,0.011
182,0,0.019,0.019
183,0,0.013,0.013
184,0,0.025,0.025
185,0,0.007,0.007
186,0,0.027,0.027
187,0,0.035,0.035
188,0,-0.008,-0.008
189,0,0.004,0.004
190,0,-0.022,-0.022
191,0,0,0,
192,0,0.012,0.012
193,0,-0.024,-0.024
194,0,-0.004,-0.004
195,0,0.044,0.044
196,0.2,0.015,-0.185
197,0,0.016,0.016
198,0,-0.023,-0.023
199,0,-0.022,-0.022
200,0,0.013,0.013
201,0,0.017,0.017
202,1,0.068,-0.932
203,0,-0.017,-0.017
204,0,-0.001,-0.001
205,0,-0.006,-0.006
206,0,-0.005,-0.005
207,0,0.017,0.017
208,0,0.011,0.011
209,0,0.013,0.013
210,0,0.027,0.027
211,0,0.001,0.001
212,0,0.129,0.129
213,0,-0.012,-0.012
214,0,-0.008,-0.008
215,0,-0.016,-0.016
216,0,0.009,0.009
217,0.2,0.052,-0.148
218,0,-0.002,-0.002
219,0,0.012,0.012
220,0,-0.008,-0.008
221,0,0.025,0.025
222,0,0.01,0.01,
223,0,0.039,0.039
224,0,0.01,0.01,
225,0,0.026,0.026
226,0,-0.011,-0.011
227,0,-0.007,-0.007
228,0,-0.022,-0.022
229,0,0.022,0.022
230,0,-0.018,-0.018
231,0,0.006,0.006
232,0.2,0.043,-0.157
233,0,-0.025,-0.025
234,0,-0.024,-0.024
235,0,0.02,0.02,
236,0,0.04,0.04,
237,0,0.003,0.003
238,0,-0.007,-0.007
239,0,0.002,0.002
240,0,0.017,0.017
241,0,0.018,0.018
242,0,-0.034,-0.034
243,0,0.105,0.105
244,0,0.003,0.003
245,0,0.012,0.012
246,0,0.002,0.002
247,0,-0.002,-0.002
248,0,0.011,0.011
249,0,0.021,0.021
250,0,-0.004,-0.004
251,0,0.139,0.139
252,0,0.239,0.239
253,0,0.005,0.005
254,0,-0.017,-0.017
255,0,0.001,0.001
256,0,0.021,0.021
257,0.2,0.013,-0.187
258,0,0.054,0.054
259,0,0.024,0.024
260,0,0.003,0.003
261,0,0.02,0.02,
262,0,0.001,0.001
263,0,0.011,0.011
264,0,0.036,0.036
265,0,-0.029,-0.029
266,0,0.001,0.001
267,0,0.006,0.006
268,0,-0.013,-0.013
269,0,0.014,0.014
270,0,0.054,0.054
271,0,0.02,0.02,
272,0,-0.014,-0.014
273,0,-0.013,-0.013
274,0,0.02,0.02,
275,0,0.011,0.011
276,0,-0.02,-0.02,
277,0,0.021,0.021
278,0,0.014,0.014
279,0,0.043,0.043
280,0,-0.025,-0.025
281,0,-0.026,-0.026
282,0,-0.017,-0.017
283,0,0.001,0.001
284,0,0.031,0.031
285,0,0.025,0.025
286,0,0.098,0.098
287,0,-0.023,-0.023
288,0,-0.004,-0.004
289,0,0.035,0.035
290,0,0.04,0.04,
291,0,0.007,0.007
292,0,0.019,0.019
293,0,0.011,0.011
294,0,0.023,0.023
295,0,-0.001,-0.001
296,0,0.023,0.023
297,0,-0.021,-0.021
298,0,-0.03,-0.03,
299,0,0.01,0.01,
300,0.2,-0.013,-0.213
301,0,0.015,0.015
302,0,-0.015,-0.015
303,0,-0.006,-0.006
304,0,0.01,0.01,
305,0,0.006,0.006
306,0,0.004,0.004
307,0,0.033,0.033
308,0,0.061,0.061
309,0,0.056,0.056
310,0,0.039,0.039
311,0,0.01,0.01,
312,0,-0.002,-0.002
313,0,-0.03,-0.03,
314,0,0.017,0.017
315,0,-0.007,-0.007
316,0,-0.027,-0.027
317,0,0.023,0.023
318,0,0.173,0.173
319,0,0.014,0.014
320,0,0.045,0.045
321,0,0.061,0.061
322,0,0.02,0.02,
323,0,-0.002,-0.002
324,0,0.001,0.001
325,0,-0.002,-0.002
326,0.2,-0.001,-0.201
327,0,0.018,0.018
328,0,-0.001,-0.001
329,0,0.015,0.015
330,0,-0.033,-0.033
331,0,0.014,0.014
332,0,-0.001,-0.001
333,0,-0.001,-0.001
334,0,0.022,0.022
335,0,-0.005,-0.005
336,0,0.018,0.018
337,0,0.053,0.053
338,0,0.033,0.033
339,0,0.015,0.015
340,0,0.002,0.002
341,0,-0.001,-0.001
342,0,-0.025,-0.025
343,1,0.484,-0.516
344,0,0.042,0.042
345,0,0.015,0.015
346,0.2,0.03,-0.17,
347,0,0.07,0.07,
348,0.2,-0.006,-0.206
349,0,-0.012,-0.012
350,0,-0.02,-0.02,
351,0,-0.006,-0.006
352,0,-0.005,-0.005
353,0,-0.006,-0.006
354,0,0.079,0.079
355,0,0.167,0.167
356,0,0.018,0.018
357,0,-0.013,-0.013
358,0,0.049,0.049
359,0,0.017,0.017
360,0,0.016,0.016
361,0,-0.023,-0.023
362,0,0.036,0.036
363,0,-0.003,-0.003
364,0.2,0.219,0.019
365,0,-0.017,-0.017
366,0,-0.007,-0.007
367,0,0.004,0.004
368,0,-0.015,-0.015
369,0,0.017,0.017
370,0,0.021,0.021
371,0.2,0.072,-0.128
372,0,-0.008,-0.008
373,0,0.002,0.002
374,0,0.011,0.011
375,0,-0.024,-0.024
376,0,-0.021,-0.021
377,0,0.031,0.031
378,0,-0.001,-0.001
379,0,0.028,0.028
380,0,-0.01,-0.01,
381,0,0.007,0.007
382,0,0.081,0.081
383,0,-0.007,-0.007
384,0,0.006,0.006
385,0,-0.011,-0.011
386,0,0.133,0.133
387,0,-0.001,-0.001
388,0,0.007,0.007
389,0,0.012,0.012
390,0,0.033,0.033
391,0,-0.001,-0.001
392,0,0.027,0.027
393,0,-0.03,-0.03,
394,0,0.013,0.013
395,1,0.031,-0.969
396,0,0.015,0.015
397,0,0.017,0.017
398,0,0.023,0.023
399,0,0.022,0.022
400,0,0.013,0.013
401,0,0.018,0.018
402,0,0.005,0.005
403,0,-0.001,-0.001
404,0,-0.006,-0.006
405,0,0.021,0.021
406,0,0.011,0.011
407,0,0.038,0.038
408,0,-0.003,-0.003
409,0,0.023,0.023
410,0,-0.005,-0.005
411,0,0.016,0.016
412,0,-0.004,-0.004
413,0,-0.003,-0.003
414,0,0.047,0.047
415,0,0.013,0.013
416,0,-0.007,-0.007
417,0,0.033,0.033
418,0,0.014,0.014
419,0,0.126,0.126
420,0,0.019,0.019
421,0,-0.026,-0.026
422,0,0.089,0.089
423,0,0.143,0.143
424,0,0.024,0.024
425,0,-0.006,-0.006
426,0,0.024,0.024
427,0,-0.002,-0.002
428,0,0.019,0.019
429,0,-0.017,-0.017
430,0,-0.001,-0.001
431,0,0.026,0.026
432,0.2,0.049,-0.151
433,0,0.024,0.024
434,0,-0.006,-0.006
435,0,0.034,0.034
436,0,0.004,0.004
437,0,0.009,0.009
438,0,-0.005,-0.005
439,0,0.012,0.012
440,0,0.178,0.178
441,0,0.063,0.063
442,0.2,0.017,-0.183
443,0,0.026,0.026
444,0,-0.009,-0.009
