David Seville
Frank Sinatra 
Frank Sinatra 
André Previn
Ella Fitzgerald
Frank Sinatra 
Frank Sinatra 
Si Zentner
Tony Bennett
Stan Getz & Charlie Byrd
Joe Harnell and His Orchestra
"Sammy Davis, Jr."
Barbra Streisand
Jack Jones
Barbra Streisand
Herb Alpert and the Tijuana Brass
The Beatles
Tony Bennett
The Mamas & the Papas
Herb Alpert and the Tijuana Brass
Glen Campbell
Glen Campbell
Peggy Lee
Henry Mancini
Eagles
Frank Sinatra 
Paul Simon
Steve Winwood
Natalie Cole
Celine Dion & Peabo Bryson
k.d. lang
Neil Young
Mary Chapin Carpenter
U2
India.Arie
The Black Eyed Peas & Justin Timberlake
Ray Charles featuring Nora Jones
Green Day
Dixie Chicks
Corinne Bailey Rae
Foo Fighters
Alison Krauss and Robert Plant
Adele
Bon Iver
Mumford & Sons
Katy Perry
The Black Keys
Frank Ocean
D'Angelo & The Vanguard
