@RELATION all_data_processed_new_ToBeTestedOnModelLR

@ATTRIBUTE popularity REAL
@ATTRIBUTE genre {Hip-Hop,country,electronic,folk,funk,indie,pop,rap,rnb,rock,soul}
@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key {0,1,2,3,4,5,6,7,8,9,10,11}
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode {0,1}
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature {3,4,5}
@ATTRIBUTE word_count REAL
@ATTRIBUTE reading_ease REAL
@ATTRIBUTE polarity REAL
@ATTRIBUTE subjectivity REAL
@ATTRIBUTE is_winner {0}
@ATTRIBUTE is_nominee {0,1}

@DATA
85,soul,0.481,0.451,5,-6.095,0,0.0347,0.336,0,0.0872,0.287,157.966,295493,4,356,81.29,?,?,0,0
79,soul,0.375,0.822,0,-4.029,1,0.167,0.0716,0,0.0694,0.353,123.363,199453,4,466,96.18,0.02952381,0.406357143,0,0
70,pop,0.753,0.796,9,-6.406,1,0.0576,0.0378,0,0.331,0.597,122.025,199263,4,?,?,?,?,0,0
75,pop,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65E-06,0.096,0.0933,125.026,197267,4,391,98.21,0.123333333,0.334666667,0,0
28,pop,0.343,0.567,10,-9.157,0,0.0444,0.704,0,0.109,0.838,199.8,203667,4,?,?,?,?,0,0
81,Hip-Hop,0.747,0.705,9,-5.137,0,0.126,0.0128,0,0.126,0.571,136.024,213507,4,?,?,?,?,0,0
1,rap,0.6,0.207,10,-12.058,0,0.0394,0.186,0.804,0.139,0.0888,118.987,241740,4,?,?,?,?,0,0
60,electronic,0.673,0.859,11,-3.007,0,0.056,0.00426,0.015,0.128,0.11,127.978,256560,4,412,107.69,0.211842105,0.482894737,0,0
80,pop,0.795,0.616,1,-5.281,0,0.06,0.417,0,0.349,0.818,110.015,190453,4,?,?,?,?,0,0
13,Hip-Hop,0.688,0.439,3,-12.809,0,0.0294,0.0192,0,0.106,0.531,97.986,233143,4,?,?,?,?,0,0
60,soul,0.638,0.395,4,-11.299,0,0.1,0.724,0.569,0.0761,0.319,78.516,344347,4,182,109.72,0.466666667,0.59,0,1
1,electronic,0.675,0.877,4,-11.287,0,0.215,0.292,0.779,0.128,0.429,171.966,198140,4,?,?,?,?,0,0
72,pop,0.584,0.614,5,-5.587,0,0.0363,0.00506,9.70E-05,0.0802,0.293,114.075,214740,4,316,100.24,0.07881746,0.545206349,0,0
31,rnb,0.741,0.371,5,-14.133,0,0.0417,0.188,0.000434,0.395,0.444,97.978,249861,4,?,?,?,?,0,0
81,Hip-Hop,0.635,0.472,8,-3.869,0,0.511,0.00898,0,0.117,0.368,174.008,170638,4,526,96.18,-0.028088235,0.356868192,0,0
84,Hip-Hop,0.896,0.623,2,-8.008,1,0.0571,0.00257,0.000258,0.039,0.564,134.962,267024,4,426,98.21,-0.010351233,0.590239784,0,0
88,pop,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.198,107.989,258987,4,313,88.74,0.191269841,0.653968254,0,0
87,soul,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.584,78.998,281560,4,320,96.18,0.304727891,0.585986395,0,1
70,pop,0.682,0.836,9,-3.777,1,0.0425,0.0464,3.13E-06,0.0797,0.486,104.987,216107,4,423,98.21,0.305555556,0.634920635,0,0
84,rock,0.612,0.921,7,-2.879,1,0.0848,0.0183,0,0.0576,0.44,139.986,202173,4,?,?,?,?,0,0
74,pop,0.254,0.617,5,-6.612,0,0.0537,0.24,0,0.125,0.271,189.425,252534,4,373,87.72,?,?,0,0
75,rock,0.385,0.866,4,-2.817,0,0.0697,0.004,0,0.111,0.548,176.014,228360,4,330,91.78,-0.078518519,0.482962963,0,0
72,rock,0.623,0.956,4,-2.608,0,0.0753,0.119,0.000227,0.617,0.718,149.958,211573,4,316,97.2,0.094871795,0.187179487,0,0
82,Hip-Hop,0.746,0.873,7,-3.803,1,0.128,0.0244,0,0.354,0.808,148.075,222093,4,554,96.18,?,?,0,0
75,rap,0.748,0.741,6,-3.103,1,0.0531,0.00419,0,0.147,0.533,128.077,213053,4,?,?,?,?,0,0
85,pop,0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.625,0.601,190.05,196693,4,?,?,?,?,0,0
34,pop,0.824,0.705,8,-5.197,1,0.0326,0.0332,0.00523,0.312,0.517,100.007,222737,4,?,?,?,?,0,0
75,Hip-Hop,0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.698,145.889,190186,4,?,?,?,?,0,0
72,folk,0.717,0.455,5,-8.303,1,0.0276,0.0846,0,0.11,0.394,127.81,200733,4,228,90.77,0.4296875,0.619270833,0,0
76,indie,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.407,128.945,241693,4,465,98.21,?,?,0,0
70,rap,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.463,140.163,321987,4,?,?,?,?,0,0
71,Hip-Hop,0.741,0.488,8,-8.253,1,0.362,0.000235,0,0.0488,0.624,160.018,181081,4,453,106.67,-0.065277778,0.419598765,0,0
0,folk,0.596,0.857,9,-9.551,0,0.041,0.00053,0.466,0.15,0.528,101.982,242300,4,?,?,?,?,0,0
85,pop,0.775,0.68,0,-5.508,0,0.0629,0.00906,0,0.109,0.636,114.025,207719,4,384,113.1,0.002511111,0.257488889,0,0
