song_title,spotify_id,artist,year,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,word_count,reading_ease,polarity,subjectivity,followers,listeners,play_count,is_winner,is_nominee,winner_score,weight
Are You Sincere,3Vo3xVk31FE01hwa1zXZzH,Andy Williams,1958,10,oldies,0.395,0.191,1,-12.369,1,0.0331,0.795,0,0.267,0.266,72.458,157773,4,145,75.88,0.408088235,0.513970588,54150,3243,6985,0,0,0,{2.23907E-05}
Chanson DAmour,7GexqFhObDOMR3a4PRh87Q,Art and Dotty Todd,1958,12,oldies,0.776,0.248,5,-11.438,1,0.0293,0.895,0.00452,0.0854,0.594,103.772,168840,4,69,87.72,0.5,0.5,23,1380,4400,0,0,0,{2.23907E-05}
Chantilly Lace,25hrRL7AzlYSLtttKIoY5l,Big Bopper,1958,47,oldies,0.511,0.67,3,-9.337,1,0.0994,0.791,1.98E-06,0.126,0.939,175.316,141640,4,266,87.72,0.008138239,0.509921962,4077,69856,220716,0,0,0,{2.23907E-05}
Sail Along Silvery Moon,5Q8rFZE9rklCPiHz2XnE4G,Billy Vaughn,1958,30,instrumental,0.247,0.397,5,-12.745,1,0.0306,0.653,0.366,0.382,0.602,92.184,128616,4,2,?,0,0,3773,17792,55314,0,0,0,{2.23907E-05}
Raunchy,1HaY8E3RjFfxUknKpXvMmF,Billy Vaughn,1958,12,instrumental,0.486,0.512,3,-9.414,1,0.0301,0.729,0.748,0.0841,0.828,77.874,126419,4,2,?,0,0,3773,2912,7101,0,0,0,{2.23907E-05}
Queen of the Hop,6GNzFswd2lirFJ2ocGCQQ5,Bobby Darin,1958,33,oldies,0.786,0.641,5,-16.072,1,0.0722,0.703,3.17E-06,0.152,0.945,139.472,131667,4,223,105.66,-0.0125,0.548125,39930,34164,74620,0,0,0,{2.23907E-05}
Splish Splash,40fD7ct05FvQHLdQTgJelG,Bobby Darin,1958,51,oldies,0.645,0.943,0,-1.526,1,0.0393,0.385,0,0.37,0.965,147.768,131720,4,253,89.75,?,?,39930,95918,252773,0,0,0,{2.23907E-05}
Over And Over,3ixHQiAUk6F6ZU1tipromq,Bobby Day,1958,26,oldies,0.638,0.55,0,-13.077,1,0.115,0.697,0,0.0938,0.557,80.233,143320,4,179,99.23,-0.09125,0.41875,3101,5878,14091,0,0,0,{2.23907E-05}
Do You Want To Dance?,3ziXw0I2WiKB0vc1uVaaF7,Bobby Freeman,1958,0,oldies,0.631,0.855,0,-11.435,1,0.0548,0.573,0.843,0.243,0.671,173.332,148038,4,?,?,?,?,610,663,1615,0,0,0,{2.23907E-05}
Peggy Sue,5SWqbaVQI5EgILjYVniKqe,Buddy Holly,1958,48,oldies,0.68,0.387,9,-10.951,1,0.0338,0.9,3.88E-06,0.158,0.623,148.779,150600,4,175,97.2,0.376923077,0.730769231,111468,199664,655094,0,0,0,{2.23907E-05}
Tequila,5gJKsGij5oGt5H5RSFYXPa,Champs,1958,50,instrumental,0.671,0.742,5,-9.912,1,0.0441,0.121,0.679,0.0601,0.894,89.748,135240,4,7,?,0,0,90184,6558,20035,0,0,0,{2.23907E-05}
Maybe,2xMAFTxwZ0w1twuyMZcYb7,Chantels,1958,36,oldies,0.489,0.415,10,-7.466,1,0.0268,0.751,0.000653,0.14,0.356,104.207,174133,4,111,91.78,0.0375,0.275,2397,2375,7305,0,0,0,{2.23907E-05}
Lollipop,38IkFZQU3ZF6agt6FkKA8C,Chordettes,1958,45,oldies,0.671,0.526,8,-8.543,1,0.179,0.717,0.013,0.406,0.841,143.216,129800,4,182,57.94,0.288888889,0.55,14517,87232,343606,0,0,0,{2.23907E-05}
Sweet Little Sixteen,4DEbXdYvto9BB3TyYyxLKn,Chuck Berry,1958,41,oldies,0.524,0.693,1,-5.865,1,0.0353,0.553,0,0.185,0.96,175.434,182467,4,252,100.24,0.022880792,0.452828684,182181,154745,434541,0,0,0,{2.23907E-05}
Johnny B Goode,2XGHdmjsumZRkaL8LhBb1e,Chuck Berry,1958,60,classic_rock,0.54,0.874,10,-6.099,1,0.0706,0.781,0.000311,0.323,0.968,166.54,161293,4,223,98.21,0.026416947,0.30359147,182181,576640,2513891,0,0,0,{2.23907E-05}
What Am I Living For,6eIEXINZt8rtgqEtOxP9ur,Chuck Willis,1958,21,rnb,0.667,0.391,10,-8.712,1,0.0258,0.728,0,0.0809,0.691,101.3,146800,3,147,97.2,0.084285714,0.597142857,844,3876,8941,0,0,0,{2.23907E-05}
Yakety Yak,7demHL0GXA6YmTNqw3Btz8,Coasters,1958,52,oldies,0.715,0.669,7,-9.491,1,0.128,0.705,0.000732,0.044,0.974,120.789,113040,4,172,99.23,0.10625,0.28125,21720,91046,281774,0,0,0,{2.23907E-05}
Whos Sorry Now,2m11n9BFZtAUGV4FqrxtuD,Connie Francis,1958,34,oldies,0.523,0.333,3,-6.4,1,0.0269,0.759,2.79E-05,0.36,0.466,87.528,136627,4,93,106.67,-0.092857143,0.817142857,26697,36982,100702,0,0,0,{2.23907E-05}
Its Only Make Believe,6neFMH7Beu1uVcs3w65bNw,Conway Twitty,1958,42,country,0.436,0.434,11,-10.465,1,0.0404,0.88,3.28E-05,0.128,0.357,126.932,133827,4,163,87.72,0.175,0.760714286,57622,50472,142370,0,0,0,{2.23907E-05}
Oh Julie,4WJ29YxlqeFyL2QuG38sjy,Crescendos,1958,12,oldies,0.43,0.372,10,-7.906,1,0.0298,0.944,0.000565,0.172,0.519,94.546,160180,4,156,100.24,0.291666667,0.448333333,35,2182,5462,0,0,0,{2.23907E-05}
Oh Boy,1yOZn3vdWgI5rN1KeituZD,Crickets,1958,27,oldies,0.522,0.635,9,-7.349,1,0.0374,0.608,0,0.118,0.836,96.666,128160,4,336,108.7,0.274553571,0.558928571,5694,8580,18315,0,0,0,{2.23907E-05}
At The Hop,0X1rGmNiBAdqpkeWlaZbmi,Danny and The Juniors,1958,37,oldies,0.605,0.811,7,-7.305,1,0.0279,0.268,3.49E-05,0.215,0.952,92.618,156267,4,341,105.66,-0.14375,0.575,1712,89482,297452,0,0,0,{2.23907E-05}
Witch Doctor,3RVnGPQfCm1r9Apk5Fvrpp,David Seville,1958,29,oldies,0.631,0.612,7,-5.648,1,0.0496,0.723,0,0.13,0.918,139.24,143373,4,262,107.69,0.407142857,0.568095238,572,12536,36373,0,0,0,{2.23907E-05}
Return To Me,38fxthNzXy46rtFlFZEmqj,Dean Martin,1958,33,oldies,0.287,0.22,2,-12.235,1,0.0356,0.965,0.00128,0.164,0.179,118.363,143787,3,76,90.77,0.01,0.34,209977,35181,105989,0,0,0,{2.23907E-05}
The Stroll,4hKtaVTrYqmflvc1jb21MC,Diamonds,1958,26,oldies,0.575,0.685,5,-8.2,1,0.031,0.845,4.93E-05,0.392,0.669,142.719,150360,3,82,84.34,0.566666667,0.6,769724,855,2180,0,0,0,{2.23907E-05}
