song,artist,labels
Are You Sincere,Andy Williams,Cadence
Chanson D'Amour,Art and Dotty Todd,?
Chantilly Lace,Big Bopper,Mercury
Sail Along Silvery Moon,Billy Vaughn,Dot Records
Raunchy,Billy Vaughn,London Records
Queen of the Hop,Bobby Darin,London Records
Splish Splash,Bobby Darin,ATCO Records
Over And Over,Bobby Day,Original Sound
Do You Want To Dance?,Bobby Freeman,Prestige Records
Peggy Sue,Buddy Holly,Vintage
Tequila,Champs,London Records
Maybe,Chantels,End
Lollipop,Chordettes,Atlantic
Sweet Little Sixteen,Chuck Berry,Quality
Johnny B Goode,Chuck Berry,Mercury
What Am I Living For,Chuck Willis,Atlantic
Yakety Yak,Coasters,London Records
Who's Sorry Now,Connie Francis,MGM Records
It's Only Make Believe,Conway Twitty,MGM Records
Oh Julie,Crescendos,Guest Star
Oh Boy,Crickets,Coral
At The Hop,Danny and The Juniors,ABC-Paramount
Witch Doctor,David Seville,London Records
Return To Me,Dean Martin,Capitol Records
The Stroll,Diamonds,Mercury Record Productions, Inc.
Volare (Nel Blu Dipinto Di Blu),Domenico Modugno,RCA Victor
Oh Lonesome Me,Don Gibson,ABC Records
Rebel-'Rouser,Duane Eddy,Jamie
The End,Earl Grant,Decca
For Your Love,Ed Townsend,Collectables
Summertime Blues,Eddie Cochran,London Records
Little Star,Elegants,Apt Records
Don't Ask Me Why,Elvis Presley,Collectables
One Night,Elvis Presley,RCA
I Beg Of You,Elvis Presley,RCA
Don't,Elvis Presley,Sony BMG Music Entertainment (UK) Ltd.
Hard-Headed Woman,Elvis Presley,Not On Label (Elvis Presley)
Doncha' Think It's Time,Elvis Presley,RCA Records
Wear My Ring Around Your Neck,Elvis Presley,Sony BMG Music Entertainment (UK) Ltd.
I Got Stung,Elvis Presley,RCA
Devoted To You,Everly Brothers,London Records
All I Have To Do Is Dream,Everly Brothers,Success
Problems,Everly Brothers,London Records
Bird Dog ,Everly Brothers,Lightning Records
Claudette,Everly Brothers,Janus Records
26 Miles,Four Preps,Capitol Records
Big Man,Four Preps,Capitol Records
All the Way,Frank Sinatra,Capitol Records
Witchcraft,Frank Sinatra ,Capitol Records
I'll Wait For You,Frankie Avalon,Chancellor
Dede Dinah,Frankie Avalon,Chancellor
Ginger Bread,Frankie Avalon,His Master's Voice
Why Don't They Understand,George Hamilton Iv,Roulette
Buzz-Buzz-Buzz,Hollywood Flames,Ebb
My True Love,Jack Scott,London Disques
Leroy,Jack Scott,Complete Rock'N'Roll
Breathless,Jerry Lee Lewis,London Records
Great Balls Of Fire,Jerry Lee Lewis,London Records
Secretly,Jimmie Rodgers,Roulette
Kisses Sweeter Than Wine,Jimmie Rodgers,Columbia
Just A Dream,Jimmy Clanton,Edsel Records
The Walk,Jimmy McCracklin,Chess
Ballad of a Teenage Queen,Johnny Cash,Success
Guess Things Happen That Way,Johnny Cash,London Records
Willie and the Hand Jive,Johnny Otis Show,Capitol Records
When,Kalin Twins,Bear Family Records
Tom Dooley,Kingston Trio,Life Time
He's Got The Whole World In His Hands,Laurie London,Capitol Records
Tears On My Pillow,Little Anthony and The Imperials,End
Lazy Mary,Lou Monte,Collectables
Sugartime,McGuire Sisters,Coral
March From the River Kwai and Colonel Bogey March,Mitch Miller,Philips
Book Of Love,Monotones,London Records
Looking Back,Nat King Cole,Capitol Records
Western Movies,Olympics,EMI
It's Too Soon To Know,Pat Boone,London American Recordings
Sugar Moon,Pat Boone,Dot Records
April Love,Pat Boone,Cosmic
Wonderful Time Up There,Pat Boone,Dot Records
You Are My Destiny,Paul Anka,Karusell
Fever,Peggy Lee,Capitol Records
Patricia,Perez Prado,?
Catch A Falling Star,Perry Como,Rondo Hitline
Magic Moments,Perry Como,Quality Records
Kewpie Doll,Perry Como,RCA
Twilight Time,Platters,Mercury
Born Too Late,Poni Tails,?
Lonesome Town,Rick Nelson,?
Poor Little Fool,Ricky Nelson,Imperial
Waitin' In School,Ricky Nelson,Imperial
Stood Up,Ricky Nelson,London Records
I Got a Feeling,Ricky Nelson,London Records
Susie Darlin',Robin Luke,London Records
Near You,Roger Williams,Kapp Records
Don't Let Go,Roy Hamilton,Shout! Records
Short Shorts,Royal Teens,Electrola
Poor Boy,Royaltones,Virgo
The Purple People Eater,Sheb Wooley,MGM Records
Get A Job,Silhouettes,Stateside
To Know Him Is To Love Him,Teddy Bears,London Records
It's All In The Game,Tommy Edwards,MGM Records
Liechtensteiner Polka,Will Glahe,?
Hawaiian Wedding Song,Andy Williams,CBS Special Products
Lonely Street,Andy Williams,London Records
Tall Paul,Annette,Disneyland
I've Had It,Bell Notes,Time Records
The All American Boy,Bill Parsons,London American Recordings
Gotta Travel On,Billy Grammer,Monument
Mack The Knife,Bobby Darin,Atlantic
Dream Lover,Bobby Darin,Music Digital
Kissin' Time,Bobby Rydell,Top Rank International
It's Just A Matter Of Time,Brook Benton,Mercury
Endlessly,Brook Benton,Mercury
The Three Bells,Browns,RCA
My Heart Is An Open Book,Carl Dobkins Jr.,?
Petite Fleur,Chris Barber's Jazz Band,?
A Lover's Question,Clyde Mcphatter,London Records
Along Came Jones,Coasters,Quality
Charlie Brown,Coasters,Atlantic
Poison Ivy,Coasters,Atlantic
My Happiness,Connie Francis,MGM Records
Frankie,Connie Francis,MGM Records
Lipstick On Your Collar,Connie Francis,Old Gold
16 Candles,Crests,Coed
The Happy Organ,"Dave ""Baby"" Cortez",?
Don't You Know,Della Reese,RCA Victor
What A Diff'rence A Day Makes,Dinah Washington,Touch Of Gold
A Teenager In Love,Dion and The Belmonts,Laurie Records
