song,artist,word_count,reading_ease,polarity,subjectivity
Are You Sincere,Andy Williams,145,75.88,0.408088235294,0.513970588235
Chanson D'Amour,Art and Dotty Todd,69,87.72,0.5,0.5
Chantilly Lace,Big Bopper,266,87.72,0.00813823857302,0.509921962096
Sail Along Silvery Moon,Billy Vaughn,2,?,0.0,0.0
Raunchy,Billy Vaughn,2,?,0.0,0.0
Queen of the Hop,Bobby Darin,223,105.66,-0.0125,0.548125
Splish Splash,Bobby Darin,253,89.75,?,?
Over And Over,Bobby Day,179,99.23,-0.09125,0.41875
Do You Want To Dance?,Bobby Freeman,?,?,?,?
Peggy Sue,Buddy Holly,175,97.2,0.376923076923,0.730769230769
Tequila,Champs,7,?,0.0,0.0
Maybe,Chantels,111,91.78,0.0375,0.275
Lollipop,Chordettes,182,57.94,0.288888888889,0.55
Sweet Little Sixteen,Chuck Berry,252,100.24,0.0228807920475,0.452828683662
Johnny B Goode,Chuck Berry,223,98.21,0.0264169472503,0.303591470258
What Am I Living For,Chuck Willis,147,97.2,0.0842857142857,0.597142857143
Yakety Yak,Coasters,172,99.23,0.10625,0.28125
Who's Sorry Now,Connie Francis,93,106.67,-0.0928571428571,0.817142857143
It's Only Make Believe,Conway Twitty,163,87.72,0.175,0.760714285714
Oh Julie,Crescendos,156,100.24,0.291666666667,0.448333333333
Oh Boy,Crickets,336,108.7,0.274553571429,0.558928571429
At The Hop,Danny and The Juniors,341,105.66,-0.14375,0.575
Witch Doctor,David Seville,262,107.69,0.407142857143,0.568095238095
Return To Me,Dean Martin,76,90.77,0.01,0.34
The Stroll,Diamonds,82,84.34,0.566666666667,0.6
Volare (Nel Blu Dipinto Di Blu),Domenico Modugno,267,90.77,0.211538461538,0.476923076923
Oh Lonesome Me,Don Gibson,206,87.72,0.167207792208,0.500692640693
Rebel-'Rouser,Duane Eddy,1,?,0.0,0.0
The End,Earl Grant,135,100.58,0.357142857143,0.714285714286
For Your Love,Ed Townsend,102,101.26,0.5,0.583333333333
Summertime Blues,Eddie Cochran,180,85.69,-0.0786904761905,0.471428571429
Little Star,Elegants,274,108.7,0.120434027778,0.485555555556
Don't Ask Me Why,Elvis Presley,83,108.7,0.326033057851,0.677272727273
One Night,Elvis Presley,141,108.7,0.165646258503,0.623979591837
I Beg Of You,Elvis Presley,189,89.75,0.248369565217,0.615217391304
Don't,Elvis Presley,115,106.67,-0.203125,0.671875
Hard-Headed Woman,Elvis Presley,202,99.23,-0.245238095238,0.533333333333
Doncha' Think It's Time,Elvis Presley,182,97.2,0.208366402116,0.50582010582
Wear My Ring Around Your Neck,Elvis Presley,238,111.07,0.283333333333,0.55
I Got Stung,Elvis Presley,240,96.18,-0.0395933014354,0.613157894737
Devoted To You,Everly Brothers,132,99.23,-0.065,0.75
All I Have To Do Is Dream,Everly Brothers,171,105.66,0.0526785714286,0.498214285714
Problems,Everly Brothers,110,87.72,0.183571428571,0.54496031746
Bird Dog ,Everly Brothers,280,96.18,?,?
Claudette,Everly Brothers,241,87.72,0.308777374586,0.634498344792
26 Miles,Four Preps,240,64.37,0.05,0.375
Big Man,Four Preps,204,106.67,0.0947368421053,0.364035087719
All the Way,Frank Sinatra,119,107.69,0.2,0.599074074074
Witchcraft,Frank Sinatra ,141,98.21,0.00714285714286,0.585714285714
I'll Wait For You,Frankie Avalon,130,107.69,0.325,0.625
Dede Dinah,Frankie Avalon,185,90.77,0.434444444444,0.698518518519
Ginger Bread,Frankie Avalon,112,78.25,0.130769230769,0.715384615385
Why Don't They Understand,George Hamilton Iv,130,101.26,0.227272727273,0.7
Buzz-Buzz-Buzz,Hollywood Flames,196,90.77,0.22625,0.43
My True Love,Jack Scott,155,99.23,0.375,0.568181818182
Leroy,Jack Scott,135,107.69,-0.0192307692308,0.223076923077
Breathless,Jerry Lee Lewis,169,100.24,0.158349206349,0.496825396825
Great Balls Of Fire,Jerry Lee Lewis,183,87.72,0.36875,0.640740740741
Secretly,Jimmie Rodgers,159,96.18,-0.0809523809524,0.630158730159
Kisses Sweeter Than Wine,Jimmie Rodgers,1,?,0.0,0.0
Just A Dream,Jimmy Clanton,165,97.2,0.00519480519481,0.420238095238
The Walk,Jimmy McCracklin,230,116.15,-0.0583333333333,0.425
Ballad of a Teenage Queen,Johnny Cash,315,93.14,0.123387096774,0.20564516129
Guess Things Happen That Way,Johnny Cash,173,104.64,0.333333333333,0.866666666667
Willie and the Hand Jive,Johnny Otis Show,201,98.21,-0.0906084656085,0.621798941799
When,Kalin Twins,184,115.13,0.378042328042,0.437301587302
Tom Dooley,Kingston Trio,289,96.18,-0.183015873016,0.405396825397
He's Got The Whole World In His Hands,Laurie London,192,105.66,0.2,0.4
Tears On My Pillow,Little Anthony and The Imperials,?,?,?,?
Lazy Mary,Lou Monte,137,81.29,0.0555555555556,0.680555555556
Sugartime,McGuire Sisters,250,79.26,0.202124505929,0.504347826087
March From the River Kwai and Colonel Bogey March,Mitch Miller,2,?,0.0,0.0
Book Of Love,Monotones,206,91.78,0.446666666667,0.566666666667
Looking Back,Nat King Cole,102,89.75,0.0444444444444,0.308333333333
Western Movies,Olympics,208,89.75,0.0182957393484,0.152005012531
It's Too Soon To Know,Pat Boone,135,116.15,0.227272727273,0.4
Sugar Moon,Pat Boone,56,101.26,0.238888888889,0.447777777778
April Love,Pat Boone,103,86.71,0.251160714286,0.513174603175
Wonderful Time Up There,Pat Boone,354,64.37,0.433247863248,0.610341880342
You Are My Destiny,Paul Anka,104,74.86,0.516666666667,0.466666666667
Fever,Peggy Lee,276,99.23,0.147713744589,0.537489177489
Patricia,Perez Prado,146,88.74,0.22,0.52
Catch A Falling Star,Perry Como,230,95.17,0.477777777778,0.677777777778
Magic Moments,Perry Como,166,76.22,0.406746031746,0.813492063492
Kewpie Doll,Perry Como,331,103.63,0.156807133838,0.506284722222
Twilight Time,Platters,251,86.71,0.127272727273,0.309848484848
Born Too Late,Poni Tails,166,107.69,-0.146428571429,0.571428571429
Lonesome Town,Rick Nelson,103,91.78,-0.0974747474747,0.442929292929
Poor Little Fool,Ricky Nelson,1,?,0.0,0.0
Waitin' In School,Ricky Nelson,1,?,0.0,0.0
Stood Up,Ricky Nelson,122,72.83,0.0345454545455,0.361818181818
I Got a Feeling,Ricky Nelson,206,107.69,0.296739130435,0.515217391304
Susie Darlin',Robin Luke,194,100.24,0.218421052632,0.5
Near You,Roger Williams,2,?,0.0,0.0
Don't Let Go,Roy Hamilton,318,107.69,0.134722222222,0.431944444444
Short Shorts,Royal Teens,79,116.15,-0.0272727272727,0.354545454545
Poor Boy,Royaltones,2,?,0.0,0.0
The Purple People Eater,Sheb Wooley,307,88.74,0.0916005291005,0.438095238095
Get A Job,Silhouettes,278,115.13,0.0642857142857,0.389285714286
To Know Him Is To Love Him,Teddy Bears,209,101.26,0.433333333333,0.54188034188
It's All In The Game,Tommy Edwards,108,96.18,0.246153846154,0.548076923077
Liechtensteiner Polka,Will Glahe,193,91.78,0.0,0.0
Hawaiian Wedding Song,Andy Williams,110,99.23,0.38125,0.49375
Lonely Street,Andy Williams,105,73.85,-0.122222222222,0.616666666667
Tall Paul,Annette,162,100.24,0.391628787879,0.444545454545
I've Had It,Bell Notes,156,91.78,0.0265625,0.428125
The All American Boy,Bill Parsons,336,97.2,0.0928571428571,0.385714285714
Gotta Travel On,Billy Grammer,254,96.18,-0.0612,0.393866666667
Mack The Knife,Bobby Darin,188,98.21,0.013431013431,0.216422466422
Dream Lover,Bobby Darin,254,99.23,0.367857142857,0.767857142857
Kissin' Time,Bobby Rydell,171,71.82,0.156140772807,0.407712041045
It's Just A Matter Of Time,Brook Benton,103,99.23,0.232407407407,0.500925925926
Endlessly,Brook Benton,65,90.77,0.341666666667,0.583333333333
The Three Bells,Browns,223,83.32,0.100632183908,0.448505747126
My Heart Is An Open Book,Carl Dobkins Jr.,?,?,?,?
