Year,Artist(s),Work,Winner/Nominee
1959,Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),Winner
1959,Perry Como,Catch a Falling Star,Nominee
1959,David Seville,The Chipmunk Song (Christmas Don't Be Late),Nominee
1959,Peggy Lee,Fever,Nominee
1959,Frank Sinatra ,Witchcraft,Nominee
1960,Bobby Darin,Mack the Knife,Winner
1960,Elvis Presley,A Fool Such as I,Nominee
1960,Frank Sinatra ,High Hopes,Nominee
1960,André Previn,Like Young,Nominee
1960,The Browns,The Three Bells,Nominee
1961,Percy Faith,Theme from A Summer Place,Winner
1961,Elvis Presley,Are You Lonesome Tonight,Nominee
1961,Ray Charles,Georgia On My Mind,Nominee
1961,Ella Fitzgerald,Mack the Knife,Nominee
1961,Frank Sinatra ,Nice 'n Easy,Nominee
1962,Henry Mancini,Moon River,Winner
1962,Jimmy Dean,Big Bad John,Nominee
1962,Frank Sinatra ,The Second Time Around,Nominee
1962,The Dave Brubeck Quartet,Take Five,Nominee
1962,Si Zentner,(Up a) Lazy River,Nominee
1963,Tony Bennett,I Left My Heart in San Francisco,Winner
1963,Stan Getz & Charlie Byrd,Desafinado,Nominee
1963,Joe Harnell and His Orchestra,Fly Me to the Moon Bossa Nova,Nominee
1963,Ray Charles,I Can't Stop Loving You,Nominee
1963,"Sammy Davis, Jr.",What Kind of Fool Am I,Nominee
1964,Henry Mancini,Days of Wine and Roses,Winner
1964,The Singing Nun,Dominique,Nominee
1964,Barbra Streisand,Happy Days Are Here Again,Nominee
1964,Tony Bennett,I Wanna Be Around,Nominee
1964,Jack Jones,Wives and Lovers,Nominee
1965,Astrud Gilberto and Stan Getz,The Girl from Ipanema,Winner
1965,Petula Clark,Downtown,Nominee
1965,Louis Armstrong,"Hello, Dolly!",Nominee
1965,The Beatles,I Want to Hold Your Hand,Nominee
1965,Barbra Streisand,People,Nominee
1966,Herb Alpert and the Tijuana Brass,A Taste of Honey,Winner
1966,The Beatles,Yesterday,Nominee
1966,The Ramsey Lewis Trio,The 'In' Crowd,Nominee
1966,Roger Miller,King of the Road,Nominee
1966,Tony Bennett,The Shadow of Your Smile,Nominee
1967,Frank Sinatra ,Strangers in the Night,Winner
1967,David Houston,Almost Persuaded,Nominee
1967,The Mamas & the Papas,"Monday, Monday",Nominee
1967,Herb Alpert and the Tijuana Brass,What Now My Love,Nominee
1967,The New Vaudeville Band,Winchester Cathedral,Nominee
1968,The Fifth Dimension,"Up, Up and Away",Winner
1968,Glen Campbell,By the Time I Get to Phoenix,Nominee
1968,Ed Ames,My Cup Runneth Over,Nominee
1968,Bobbie Gentry,Ode to Billie Joe,Nominee
1968,Nancy Sinatra & Frank Sinatra,Somethin' Stupid,Nominee
1969,Simon & Garfunkel,Mrs. Robinson,Winner
1969,Jeannie C. Riley,Harper Valley PTA,Nominee
1969,The Beatles,Hey Jude,Nominee
1969,Bobby Goldsboro,Honey,Nominee
1969,Glen Campbell,Wichita Lineman,Nominee
1970,The 5th Dimension,Aquarius,Winner
1970,Johnny Cash,A Boy Named Sue,Nominee
1970,Peggy Lee,Is That All There Is?,Nominee
1970,Henry Mancini,A Time For Us,Nominee
1970,"Blood, Sweat & Tears",Spinning Wheel,Nominee
1971,Simon & Garfunkel,Bridge over Troubled Water,Winner
1971,Carpenters,(They Long to Be) Close to You,Nominee
1971,Ray Stevens,Everything Is Beautiful,Nominee
1971,James Taylor,Fire and Rain,Nominee
1971,The Beatles,Let it Be,Nominee
1972,Carole King,It's Too Late,Winner
1972,Three Dog Night,Joy to the World,Nominee
1972,George Harrison,My Sweet Lord,Nominee
1972,Isaac Hayes,Theme from Shaft,Nominee
1972,James Taylor,You've Got a Friend,Nominee
1973,Roberta Flack,The First Time Ever I Saw Your Face,Winner
1973,Gilbert O'Sullivan,Alone Again (Naturally),Nominee
1973,Don McLean,American Pie,Nominee
1973,Neil Diamond,Song Sung Blue,Nominee
1973,Nilsson,Without You,Nominee
1974,Roberta Flack,Killing Me Softly with His Song,Winner
1974,Jim Croce,"Bad, Bad Leroy Brown",Nominee
1974,Charlie Rich,Behind Closed Doors,Nominee
1974,Stevie Wonder,You Are the Sunshine of My Life,Nominee
1974,Carly Simon,You're So Vain,Nominee
1975,Olivia Newton-John,I Honestly Love You,Winner
1975,Elton John,Don't Let the Sun Go Down on Me,Nominee
1975,Roberta Flack,Feel Like Makin' Love,Nominee
1975,Joni Mitchell,Help Me,Nominee
1975,Maria Muldaur,Midnight at the Oasis,Nominee
1976,Captain & Tennille,Love Will Keep Us Together,Winner
1976,Janis Ian,At Seventeen,Nominee
1976,Eagles,Lyin' Eyes,Nominee
1976,Barry Manilow,Mandy,Nominee
1976,Glen Campbell,Rhinestone Cowboy,Nominee
1977,George Benson,This Masquerade,Winner
1977,Starland Vocal Band,Afternoon Delight,Nominee
1977,Paul Simon,50 Ways to Leave Your Lover,Nominee
1977,Barry Manilow,I Write the Songs,Nominee
1977,Chicago,If You Leave Me Now,Nominee
1978,Eagles,Hotel California,Winner
1978,Linda Ronstadt,Blue Bayou,Nominee
1978,Crystal Gayle,Don't It Make My Brown Eyes Blue,Nominee
1978,Barbra Streisand,Evergreen (Love Theme from A Star Is Born),Nominee
1978,Debby Boone,You Light Up My Life,Nominee
1979,Billy Joel,Just the Way You Are,Winner
1979,Gerry Rafferty,Baker Street,Nominee
1979,Chuck Mangione,Feels So Good,Nominee
1979,Bee Gees,Stayin' Alive,Nominee
1979,Anne Murray,You Needed Me,Nominee
1980,The Doobie Brothers,What a Fool Believes,Winner
1980,"Earth, Wind & Fire",After the Love Has Gone,Nominee
1980,Gloria Gaynor,I Will Survive,Nominee
1980,Kenny Rogers,The Gambler,Nominee
1980,Barbra Streisand & Neil Diamond,You Don't Bring Me Flowers,Nominee
1981,Christopher Cross,Sailing,Winner
1981,Bette Midler,The Rose,Nominee
1981,Kenny Rogers,Lady,Nominee
1981,Frank Sinatra ,"Theme from New York, New York",Nominee
1981,Barbra Streisand,Woman in Love,Nominee
1982,Kim Carnes,Bette Davis Eyes,Winner
1982,Christopher Cross,Arthur's Theme (Best That You Can Do),Nominee
1982,John Lennon,(Just Like) Starting Over,Nominee
1982,Diana Ross & Lionel Richie,Endless Love,Nominee
1982,"Grover Washington, Jr. & Bill Withers",Just the Two of Us,Nominee
1983,Toto,Rosanna,Winner
1983,Joe Jackson,Steppin' Out,Nominee
1983,Paul McCartney & Stevie Wonder,Ebony and Ivory,Nominee
1983,Willie Nelson,Always on My Mind,Nominee
1983,Vangelis,Chariots of Fire,Nominee
1984,Michael Jackson,Beat It,Winner
1984,Irene Cara,Flashdance… What a Feeling,Nominee
1984,The Police,Every Breath You Take,Nominee
1984,Lionel Richie,All Night Long (All Night),Nominee
1984,Michael Sambello,Maniac,Nominee
1985,Tina Turner,What's Love Got to Do with It,Winner
1985,Chicago,Hard Habit to Break,Nominee
1985,Cyndi Lauper,Girls Just Want to Have Fun,Nominee
1985,Huey Lewis and the News,The Heart of Rock & Roll,Nominee
1985,Bruce Springsteen,Dancing in the Dark,Nominee
1986,USA for Africa,We Are the World,Winner
1986,Dire Straits,Money for Nothing,Nominee
1986,Don Henley,The Boys of Summer,Nominee
1986,Huey Lewis and the News,The Power of Love,Nominee
1986,Bruce Springsteen,Born in the U.S.A.,Nominee
1987,Steve Winwood,Higher Love,Winner
1987,Peter Gabriel,Sledgehammer,Nominee
1987,Whitney Houston,Greatest Love of All,Nominee
1987,Robert Palmer,Addicted to Love,Nominee
1987,Dionne Warwick & Friends,That's What Friends Are For,Nominee
1988,Paul Simon,Graceland,Winner
1988,Los Lobos,La Bamba,Nominee
1988,U2,I Still Haven't Found What I'm Looking For,Nominee
1988,Suzanne Vega,Luka,Nominee
1988,Steve Winwood,Back in the High Life Again,Nominee
1989,Bobby McFerrin,"Don't Worry, Be Happy",Winner
1989,Anita Baker,Giving You the Best That I Got,Nominee
1989,Tracy Chapman,Fast Car,Nominee
1989,Michael Jackson,Man in the Mirror,Nominee
1989,Steve Winwood,Roll With It,Nominee
1990,Bette Midler,Wind Beneath My Wings,Winner
1990,Don Henley,The End of the Innocence,Nominee
1990,Fine Young Cannibals,She Drives Me Crazy,Nominee
1990,Billy Joel,We Didn't Start the Fire,Nominee
1990,Mike + The Mechanics,The Living Years,Nominee
1991,Phil Collins,Another Day in Paradise,Winner
1991,Mariah Carey,Vision of Love,Nominee
1991,MC Hammer,U Can't Touch This,Nominee
1991,Bette Midler,From a Distance,Nominee
1991,Sinéad O'Connor,Nothing Compares 2 U,Nominee
1992,Natalie Cole,Unforgettable,Winner
1992,Bryan Adams,(Everything I Do) I Do It for You,Nominee
1992,Amy Grant,Baby Baby,Nominee
1992,Bonnie Raitt,Something to Talk About,Nominee
1992,R.E.M.,Losing My Religion,Nominee
1993,Eric Clapton,Tears in Heaven,Winner
1993,Billy Ray Cyrus,Achy Breaky Heart,Nominee
1993,Celine Dion & Peabo Bryson,Beauty and the Beast,Nominee
1993,k.d. lang,Constant Craving,Nominee
1993,Vanessa Williams,Save the Best for Last,Nominee
1994,Whitney Houston,I Will Always Love You,Winner
1994,Peabo Bryson & Regina Belle,A Whole New World,Nominee
1994,Billy Joel,The River of Dreams,Nominee
1994,Sting,If I Ever Lose My Faith in You,Nominee
1994,Neil Young,Harvest Moon,Nominee
1995,Sheryl Crow,All I Wanna Do,Winner
1995,Boyz II Men,I'll Make Love to YOU,Nominee
1995,Mary Chapin Carpenter,He Thinks He'll Keep Her,Nominee
1995,Bonnie Raitt,Love Sneakin' Up On You,Nominee
1995,Bruce Springsteen,Streets of Philadelphia,Nominee
1996,Seal,Kiss from a Rose,Winner
1996,Mariah Carey & Boyz II Men,One Sweet Day,Nominee
1996,Coolio,Gangsta's Paradise,Nominee
1996,Joan Osborne,One of Us,Nominee
1996,TLC,Waterfalls,Nominee
1997,Eric Clapton,Change the World,Winner
1997,Tracy Chapman,Give Me One Reason,Nominee
1997,Celine Dion,Because You Loved Me,Nominee
1997,Alanis Morissette,Ironic,Nominee
1997,The Smashing Pumpkins,1979,Nominee
1998,Shawn Colvin,Sunny Came Home,Winner
1998,Paula Cole,Where Have All the Cowboys Gone?,Nominee
1998,Sheryl Crow,Everyday Is a Winding Road,Nominee
1998,Hanson,MMMBop,Nominee
1998,R. Kelly,I Believe I Can Fly,Nominee
1999,Celine Dion,My Heart Will Go On,Winner
1999,Brandy & Monica,The Boy Is Mine,Nominee
1999,Goo Goo Dolls,Iris,Nominee
1999,Madonna,Ray of Light,Nominee
1999,Shania Twain,You're Still the One,Nominee
2000,Santana featuring Rob Thomas,Smooth,Winner
2000,Backstreet Boys,I Want It That Way,Nominee
2000,Cher,Believe,Nominee
2000,Ricky Martin,Livin' la Vida Loca,Nominee
2000,TLC,No Scrubs,Nominee
2001,U2,Beautiful Day,Winner
2001,Destiny's Child,Say My Name,Nominee
2001,Macy Gray,I Try,Nominee
2001,Madonna,Music,Nominee
2001,NSYNC,Bye Bye Bye,Nominee
2002,U2,Walk On,Winner
2002,India.Arie,Video,Nominee
2002,Alicia Keys,Fallin',Nominee
2002,OutKast,Ms. Jackson,Nominee
2002,Train,Drops of Jupiter (Tell Me),Nominee
2003,Norah Jones,Don't Know Why,Winner
2003,Vanessa Carlton,A Thousand Miles,Nominee
2003,Eminem,Without Me,Nominee
2003,Nelly & Kelly Rowland,Dilemma,Nominee
2003,Nickelback,How You Remind Me,Nominee
2004,Coldplay,Clocks,Winner
2004,Beyoncé & Jay-Z,Crazy in Love,Nominee
2004,The Black Eyed Peas & Justin Timberlake,Where Is the Love?,Nominee
2004,Eminem,Lose Yourself,Nominee
2004,OutKast,Hey Ya!,Nominee
2005,Ray Charles featuring Nora Jones,Here We Go Again,Winner
2005,The Black Eyed Peas,Let's Get it Started,Nominee
2005,Green Day,American Idiot,Nominee
2005,Los Lonely Boys,Heaven,Nominee
2005,Usher featuring Lil Jon & Ludacris,Yeah,Nominee
2006,Green Day,Boulevard of Broken Dreams,Winner
2006,Mariah Carey,We Belong Together,Nominee
2006,Gorillaz,Feel Good Inc.,Nominee
2006,Gwen Stefani,Hollaback Girl,Nominee
2006,Kanye West,Gold Digger,Nominee
2007,Dixie Chicks,Not Ready to Make Nice,Winner
2007,Mary J. Blige,Be Without You,Nominee
2007,James Blunt,You're Beautiful,Nominee
2007,Gnarls Barkley,Crazy,Nominee
2007,Corinne Bailey Rae,Put Your Records On,Nominee
2008,Amy Winehouse,Rehab,Winner
2008,Beyoncé,Irreplaceable,Nominee
2008,Foo Fighters,The Pretender,Nominee
2008,Rihanna featuring Jay-Z,Umbrella,Nominee
2008,Justin Timberlake,What Goes Around …Comes Around,Nominee
2009,Alison Krauss and Robert Plant,Please Read the Letter,Winner
2009,Adele,Chasing Pavements,Nominee
2009,Coldplay,Viva la Vida,Nominee
2009,Leona Lewis,Bleeding Love,Nominee
