Year,Artist(s),Work,Winner/Nominee
1959,David Seville,The Chipmunk Song (Christmas Don't Be Late),Nominee
1959,Frank Sinatra ,Witchcraft,Nominee
1960,Frank Sinatra ,High Hopes,Nominee
1960,André Previn,Like Young,Nominee
1961,Ella Fitzgerald,Mack the Knife,Nominee
1961,Frank Sinatra ,Nice 'n Easy,Nominee
1962,Frank Sinatra ,The Second Time Around,Nominee
1962,Si Zentner,(Up a) Lazy River,Nominee
1963,Tony Bennett,I Left My Heart in San Francisco,Winner
1963,Stan Getz & Charlie Byrd,Desafinado,Nominee
1963,Joe Harnell and His Orchestra,Fly Me to the Moon Bossa Nova,Nominee
1963,"Sammy Davis, Jr.",What Kind of Fool Am I,Nominee
1964,Barbra Streisand,Happy Days Are Here Again,Nominee
1964,Jack Jones,Wives and Lovers,Nominee
1965,Barbra Streisand,People,Nominee
1966,Herb Alpert and the Tijuana Brass,A Taste of Honey,Winner
1966,The Beatles,Yesterday,Nominee
1966,Tony Bennett,The Shadow of Your Smile,Nominee
1967,The Mamas & the Papas,"Monday, Monday",Nominee
1967,Herb Alpert and the Tijuana Brass,What Now My Love,Nominee
1968,Glen Campbell,By the Time I Get to Phoenix,Nominee
1969,Glen Campbell,Wichita Lineman,Nominee
1970,Peggy Lee,Is That All There Is?,Nominee
1970,Henry Mancini,A Time For Us,Nominee
1976,Eagles,Lyin' Eyes,Nominee
1981,Frank Sinatra ,"Theme from New York, New York",Nominee
1988,Paul Simon,Graceland,Winner
1988,Steve Winwood,Back in the High Life Again,Nominee
1992,Natalie Cole,Unforgettable,Winner
1993,Celine Dion & Peabo Bryson,Beauty and the Beast,Nominee
1993,k.d. lang,Constant Craving,Nominee
1994,Neil Young,Harvest Moon,Nominee
1995,Mary Chapin Carpenter,He Thinks He'll Keep Her,Nominee
2002,U2,Walk On,Winner
2002,India.Arie,Video,Nominee
2004,The Black Eyed Peas & Justin Timberlake,Where Is the Love?,Nominee
2005,Ray Charles featuring Nora Jones,Here We Go Again,Winner
2005,Green Day,American Idiot,Nominee
2007,Dixie Chicks,Not Ready to Make Nice,Winner
2007,Corinne Bailey Rae,Put Your Records On,Nominee
2008,Foo Fighters,The Pretender,Nominee
2009,Alison Krauss and Robert Plant,Please Read the Letter,Winner
2009,Adele,Chasing Pavements,Nominee
2012,Bon Iver,Holocene,Nominee
2012,Mumford & Sons,The Cave,Nominee
2012,Katy Perry,Firework,Nominee
2013,The Black Keys,Lonely Boy,Nominee
2013,Frank Ocean,Thinkin Bout You,Nominee
2016,D'Angelo & The Vanguard,Really Love,Nominee
