title,spotify_id,artist,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
All I Have To Do Is Dream,7dblNGnRXEBrVJunazs2U5,Everly Brothers,1958,53,0.534,0.462,4,-8.172,1,0.0266,0.839,0,0.129,0.531,96.195,143333,4
Claudette,632GESqggMN84rS3sRXy0K,Elvis Presley,1958,45,0.662,0.613,9,-7.553,1,0.189,0.0899,0,0.0831,0.404,83.015,231133,4
Don't,1i1fxkWeaMmKEB4T7zqbzK,David Seville,1958,98,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.419,159.803,208373,4
I Beg Of You,4ZEKOr73zGjE2FEdAbgULY,Perez Prado,1958,26,0.807,0.798,1,-6.237,1,0.239,0.0619,0,0.119,0.606,75.04,243173,4
Witch Doctor,5oxoejdLvKgHDTN0ziHRBu,Billy Vaughn,1958,4,0.803,0.945,8,-5.995,0,0.0942,0.000326,0.886,0.409,0.0646,117.988,203392,4
Patricia,0s47r6iVC4QidErm3mDQPS,Perry Como,1958,9,0.735,0.892,0,-4.097,0,0.107,0.00932,0.0178,0.0728,0.547,129.025,211105,4
Sail Along Silvery Moon,5Q8rFZE9rklCPiHz2XnE4G,Champs,1958,30,0.247,0.397,5,-12.745,1,0.0306,0.653,0.366,0.382,0.602,92.184,128616,4
Raunchy,7yF8JKcjCDgHBSe6lHzMuR,Tommy Edwards,1958,38,0.437,0.911,1,-5.449,0,0.0928,9.94e-05,2.25e-05,0.114,0.257,87.684,218000,4
Catch A Falling Star,1pBJCt9keWDrIQYu51T6py,Dean Martin,1958,36,0.7,0.189,7,-15.412,1,0.0795,0.798,0,0.136,0.598,119.522,149093,4
Magic Moments,3cfN34fxSbtaJ5HmSDrdAX,Conway Twitty,1958,47,0.715,0.572,6,-8.628,0,0.0527,0.0809,0,0.338,0.878,129.897,137107,4
Tequila,1t2hJFgJyUPD2crOafMUEk,Sheb Wooley,1958,65,0.691,0.454,6,-9.13,1,0.0256,0.437,0.00227,0.0783,0.342,135.839,242840,4
It's All In The Game,01OFUZ8btJxFI6n5igQUqx,Everly Brothers,1958,33,0.332,0.148,3,-17.523,1,0.032,0.864,0.0609,0.206,0.628,70.881,156440,4
Return To Me,03wKMRNYVvw6s9nm4I4jUS,Silhouettes,1958,58,0.22,0.8,7,-5.11,1,0.0504,0.00175,0.00916,0.492,0.206,176.047,279293,4
It's Only Make Believe,6neFMH7Beu1uVcs3w65bNw,Elegants,1958,42,0.436,0.434,11,-10.465,1,0.0404,0.88,3.28e-05,0.128,0.357,126.932,133827,4
The Purple People Eater,3oMwj0kLSsCoG5m0TEPLDp,Ricky Nelson,1958,31,0.538,0.742,2,-8.481,1,0.128,0.0541,0.0103,0.328,0.687,158.146,255267,4
Bird Dog,6iWwfN1euztxZi1OK38HbU,Laurie London,1958,67,0.359,0.391,3,-8.034,1,0.026,0.795,0.0708,0.163,0.182,154.66,242226,3
Devoted To You,3MVsnY8qG5iNRj4yr2CmVW,Platters,1958,12,0.621,0.247,9,-13.193,0,0.0329,0.297,0.00591,0.104,0.297,70.378,187228,4
Get A Job,5JzF2iymNwCyFz9MTmojd0,Jimmie Rodgers,1958,67,0.772,0.878,5,-4.479,1,0.0806,0.0707,1.55e-06,0.303,0.543,107.951,171867,4
Little Star,5pijHCQdAO0tInObTX8eY5,Danny and The Juniors,1958,0,?,?,?,?,?,?,?,?,?,?,?,?,?
Stood Up,7iUdxwUlEzjKERrC4Syg80,Coasters,1958,34,0.514,0.64,1,-5.553,0,0.0315,0.111,0.000117,0.114,0.063,90.534,219095,4
Waitin' In School,26Ci4lHSoWv8mj2zq3IAl7,Elvis Presley,1958,33,0.562,0.646,11,-10.014,1,0.0509,0.053,0,0.0411,0.854,103.052,122760,4
He's Got The Whole World In His Hands,6QgXKfPfFnDWdVwD2nV8PA,Ricky Nelson,1958,3,0.424,0.16,2,-17.967,1,0.0871,0.976,0,0.714,0.333,92.508,131973,4
Twilight Time,6qsRKJJHLGSCPsdt2jEs2t,Pat Boone,1958,39,0.482,0.323,9,-13.569,1,0.0453,0.753,0,0.315,0.355,115.215,165373,3
Secretly,1DqyvYTtILX4jJ2wJczduw,Jimmy Clanton,1958,33,0.577,0.476,8,-15.371,1,0.0296,0.78,0.472,0.115,0.752,145.389,384893,4
At The Hop,4PyB0atOj3ni6USMrENVzq,McGuire Sisters,1958,42,0.853,0.54,6,-6.116,0,0.195,0.189,0,0.18,0.482,95.475,251307,4
Yakety Yak,7demHL0GXA6YmTNqw3Btz8,Bobby Day,1958,52,0.715,0.669,7,-9.491,1,0.128,0.705,0.000732,0.044,0.974,120.789,113040,4
Wear My Ring Around Your Neck,36BT9FxW5dorOiUXZ5fb4B,Kingston Trio,1958,30,0.619,0.728,2,-8.736,1,0.0721,0.881,0.00132,0.101,0.962,105.852,133920,4
Doncha' Think It's Time,1KdAQLzlNDezCKPtAc2Xu1,Chuck Berry,1958,21,0.706,0.532,0,-11.013,1,0.0463,0.907,5e-05,0.29,0.871,135.368,117627,4
Poor Little Fool,33FPsMEl3UwpytDuyf9VYq,Cozy Cole,1958,42,0.549,0.336,0,-11.669,1,0.029,0.652,0,0.134,0.79,154.958,153933,4
Wonderful Time Up There,4vU4lMJ3HE3BakMA1k9rvs,Nat King Cole,1958,37,0.493,0.828,4,-7.007,1,0.0468,0.776,0.000396,0.786,0.735,102.766,126227,4
It's Too Soon To Know,1815VwSwTxPTFd9gqIIq6Z,Monotones,1958,17,0.441,0.248,1,-13.459,1,0.0265,0.634,9.65e-06,0.231,0.432,66.076,162493,4
Just A Dream,3PfeAZbfD134dO6OiLDA2Y,Tommy Dorsey Orch. and Warren Covington,1958,57,0.464,0.756,1,-6.094,1,0.034,0.0413,0,0.124,0.0928,180.094,237987,4
Sugartime,6qto5NKDYXhU83R1gL59CL,Little Anthony and The Imperials,1958,20,0.633,0.514,0,-9.762,1,0.0404,0.663,0,0.478,0.882,96.345,153240,4
Rockin Robbin,5eptWoRFaDmFj1YdSD9sN5,Royal Teens,1958,15,0.546,0.391,6,-7.682,1,0.0272,0.419,0,0.123,0.413,154.939,229200,4
Over And Over,1X6kxrjWVWiKMqulM8XZpj,Jerry Lee Lewis,1958,69,0.47,0.271,8,-8.335,1,0.0392,0.962,0,0.106,0.396,129.623,246896,4
Tom Dooley,5rivhNukBcqEX41XQDLYi9,Chordettes,1958,36,0.632,0.137,4,-15.351,1,0.0446,0.866,2.92e-06,0.0825,0.532,125.95,185027,4
Sweet Little Sixteen,4DEbXdYvto9BB3TyYyxLKn,Bobby Darin,1958,41,0.524,0.693,1,-5.865,1,0.0353,0.553,0,0.185,0.96,175.434,182467,4
Topsy II,1olJyAAuYr1u1Nc4lLe5LL,Connie Francis,1958,0,0.471,0.238,8,-14.878,1,0.046,0.657,0.00204,0.169,0.588,179.076,281173,4
Topsy I,0Sj6KPYSHnUr23655cg7gf,Jack Scott,1958,36,0.666,0.198,5,-12.727,0,0.586,0.982,0,0.311,0.647,78.791,117280,4
Looking Back,0jm9mKgj5mQ6ye1cRdsakG,Jody Reynolds,1958,0,0.524,0.0653,2,-18.915,1,0.0496,0.983,0.925,0.0855,0.0727,109.999,237922,4
Do I Like It,0z9hbAY5d0RhmvZr3DWMPK,Bobby Freeman,1958,71,0.883,0.85,10,-4.053,0,0.361,0.308,0,0.368,0.709,150.138,146000,4
Book Of Love,6COtET46lPGVXefrfHUkHI,Kalin Twins,1958,51,0.665,0.304,0,-13.785,1,0.0285,0.834,0.000284,0.102,0.177,104.931,193111,4
Tea For Two Cha Cha,6LBSqMXidyZazxR1Mxxub6,Teddy Bears,1958,22,0.742,0.744,4,-9.62,1,0.0398,0.748,0.775,0.201,0.966,114.983,148333,4
Tears On My Pillow,07ePHsQ0SopWrnCbNjNC2D,Pat Boone,1958,46,0.432,0.202,0,-14.518,1,0.0283,0.908,0,0.181,0.601,100.082,140533,3
Short Shorts,0eKNFqPx0ZzmMOSYMMXDE5,Duane Eddy,1958,42,0.651,0.917,5,-8.98,1,0.0665,0.857,0.177,0.531,0.816,127.119,134920,4
Great Balls Of Fire,4waQv4bln6SaCB51Qj9Fp6,Crescendos,1958,51,0.401,0.897,0,-8.016,1,0.0848,0.537,1.44e-06,0.065,0.936,166.703,106133,4
Lollipop,4P7VFiaZb3xrXoqGwZXC3J,Diamonds,1958,68,0.828,0.433,0,-9.716,1,0.199,0.0656,0.000876,0.122,0.446,148.073,299333,4
Splish Splash,40fD7ct05FvQHLdQTgJelG,Elvis Presley,1958,51,0.645,0.943,0,-1.526,1,0.0393,0.385,0,0.37,0.965,147.768,131720,4
Who's Sorry Now,2m11n9BFZtAUGV4FqrxtuD,Buddy Holly,1958,34,0.523,0.333,3,-6.4,1,0.0269,0.759,2.79e-05,0.36,0.466,87.528,136627,4
My True Love,1qPLYFQSrJvXAGdlaogVAK,Don Gibson,1958,45,0.563,0.162,10,-12.599,0,0.0358,0.948,1.19e-05,0.113,0.14,118.678,107160,4
Leroy,0oWLsEchzMxbZuwKLfCkXN,Big Bopper,1958,56,0.561,0.863,9,-4.332,0,0.119,0.19,0,0.26,0.174,80.962,241360,4
Endless Sleep,3BRYffW1IYOLjwHDPf8G1p,Rick Nelson,1958,37,0.411,0.0285,7,-26.948,1,0.0275,0.87,0.858,0.383,0.105,82.024,240000,4
Do You Want To Dance?,7o3vUVAbaN1oPmjtQ7cquv,Frank Sinatra,1958,29,0.396,0.416,7,-8.132,0,0.0332,0.531,1.22e-05,0.0694,0.551,158.825,164493,4
When,40YcuQysJ0KlGQTeGUosTC,Elvis Presley,1958,95,0.757,0.672,0,-6.524,0,0.0955,0.0186,0,0.158,0.389,111.996,251467,4
To Know Him Is To Love Him,0wIuNdGPbzapCuHYSI3ho5,Robin Luke,1958,46,0.474,0.195,0,-8.801,1,0.0499,0.934,4.24e-05,0.0859,0.406,170.12,144080,3
April Love,39BRaC9yrR8f8wmAHxpCi1,Four Preps,1958,43,0.126,0.087,0,-17.139,1,0.0439,0.931,0.978,0.089,0.0592,73.379,56632,3
Rebel-'Rouser,4nAJtcmiyoL0ARY5WZY9IN,Earl Grant,1958,48,0.388,0.434,7,-11.997,1,0.0354,0.789,0.954,0.728,0.871,206.313,153533,4
Oh Julie,3f6QZxHHvPvxQ7Ms9RHijn,Jimmie Rodgers,1958,29,0.444,0.872,4,-3.562,1,0.0381,0.078,5.65e-06,0.415,0.537,91.929,196467,4
The Stroll,7HttAGuRTcBF7Yz40kzlWh,Playmates,1958,38,0.303,0.951,6,-4.919,1,0.0752,0.000101,0.0024,0.365,0.394,110.002,422973,4
Hard-Headed Woman,6b8hjwuGl1H9o5ZbrHJcpJ,Mitch Miller,1958,39,0.494,0.325,0,-11.263,1,0.034,0.442,6.94e-05,0.0842,0.424,143.338,227200,4
Don't Ask Me Why,06QdJtEtHOckzHhq5EbTfo,Everly Brothers,1958,40,0.377,0.569,7,-5.702,1,0.0695,0.521,0,0.0838,0.489,80.088,356307,4
Peggy Sue,5SWqbaVQI5EgILjYVniKqe,Bobby Darin,1958,48,0.68,0.387,9,-10.951,1,0.0338,0.9,3.88e-06,0.158,0.623,148.779,150600,4
Oh Lonesome Me,5VPdR6pd1nduCE3cZtM7a2,Will Glahe,1958,32,0.408,0.847,11,-10.181,1,0.0352,0.375,0,0.153,0.968,163.547,188867,4
Chantilly Lace,25hrRL7AzlYSLtttKIoY5l,Elvis Presley,1958,47,0.511,0.67,3,-9.337,1,0.0994,0.791,1.98e-06,0.126,0.939,175.316,141640,4
Lonesome Town,56XoFI6v7kbGNdM8ALYWof,Andy Williams,1958,48,0.508,0.0965,11,-18.283,1,0.031,0.856,0.012,0.102,0.312,77.906,135840,4
All the Way,61QSuw5VlC0LTS8WMO356g,Ricky Nelson,1958,82,0.536,0.721,10,-6.44,0,0.386,0.062,0,0.824,0.388,117.139,191942,5
One Night,0l4EfZzVD0LyJhibHIIVxo,Poni Tails,1958,74,0.764,0.475,0,-12.618,1,0.114,0.345,0,0.14,0.349,129.974,243270,4
Susie Darlin',46DYrsl4DZQIOAPwyLsqX6,Johnny Otis Show,1958,0,0.677,0.248,10,-17.782,0,0.0459,0.884,4.71e-05,0.185,0.611,134.77,149689,4
26 Miles,66HLCz8021x20bXxz9nGkG,Four Preps,1958,23,0.64,0.388,9,-12.728,1,0.0426,0.715,0.00278,0.324,0.365,121.244,146000,4
The End,60a0Rd6pjrkxjPbaKzXjfq,Crickets,1958,79,0.553,0.9,3,-4.556,0,0.0584,0.0113,0,0.322,0.397,105.213,219000,4
Kisses Sweeter Than Wine,4Cgc7acbuYHAEO338WAo5D,Chuck Willis,1958,27,0.497,0.318,6,-12.974,1,0.0597,0.672,0,0.0783,0.68,162.104,142333,4
March From the River Kwai and Colonel Bogey March,4NYFLbJjGX0tExZ8ySt2pz,Eddie Cochran,1958,21,0.593,0.593,0,-9.365,1,0.0272,0.752,0.768,0.376,0.843,108.906,143867,4
Problems,4XoP1AkbOurU9CeZ2rMEz2,Roger Williams,1958,79,0.869,0.687,1,-6.816,1,0.263,0.0208,1e-06,0.114,0.668,96.006,233787,4
Queen of the Hop,6GNzFswd2lirFJ2ocGCQQ5,Peggy Lee,1958,33,0.786,0.641,5,-16.072,1,0.0722,0.703,3.17e-06,0.152,0.945,139.472,131667,4
Liechtensteiner Polka,6d96tUjNShhIi21LYHHG6s,Ed Townsend,1958,8,0.49,0.382,0,-14.064,1,0.0336,0.583,0.293,0.305,0.66,119.472,153907,4
I Got Stung,0IDFXLMABcj61OKI3L05A0,Paul Anka,1958,32,0.731,0.832,10,-10.336,0,0.054,0.901,0.53,0.219,0.975,96.557,109413,4
Are You Sincere,6dcMLXCuvDP0bj9eYvvBOw,Art and Dotty Todd,1958,19,0.387,0.16,0,-15.351,1,0.0292,0.939,0.365,0.301,0.406,71.913,120333,4
I Got a Feeling,3l4T7AFm7UPNGd04xynUhE,Lou Monte,1958,26,0.596,0.716,9,-5.967,0,0.0426,0.137,0,0.63,0.853,145.98,173427,4
Born Too Late,5dLF41mBaC8ELD3YtXgXEP,Johnny Cash,1958,49,0.636,0.778,5,-5.152,1,0.0297,0.111,1.53e-06,0.0723,0.952,100.219,281187,4
Willie and the Hand Jive,4ToAe9XCKjFGin2Qfswwis,Pat Boone,1958,33,0.778,0.814,6,-8.97,1,0.14,0.0989,8.07e-06,0.18,0.922,98.857,154733,4
Big Man,731Pa6Gt7GAdADATMSEL0N,Jimmy McCracklin,1958,70,0.677,0.579,8,-6.665,0,0.16,0.773,0,0.11,0.318,157.967,254627,4
