Song Title,Artist Name,Year
Hit The Quan,iLoveMemphis,2015
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,2015
Never Forget You,Zara Larsson & MNEK,2015
I Got The Boy,Jana Kramer,2015
Love Myself,Hailee Steinfeld,2015
"Me, Myself & I",G-Eazy x Bebe Rexha,2015
Noise,Kenny Chesney,2016
Don't Let Me Down,The Chainsmokers Featuring Daya,2016
No Sense,Justin Bieber Featuring Travi$ Scott,2015
Down In The DM,Yo Gotti Featuring Nicki Minaj,2015
I'll Show You,Justin Bieber,2015
Jugg,Fetty Wap Featuring Monty,2015
Every Breath You Take,Hannah Huston,2016
T-Shirt,Thomas Rhett,2016
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,2015
Back To Sleep,Chris Brown,2015
Little More (Royalty),Chris Brown,2015
7 Years,Lukas Graham,2015
Trap Queen,Fetty Wap,2014
We Are,Justin Bieber Featuring Nas,2015
Exchange,Bryson Tiller,2015
White Iverson,Post Malone,2015
Zero,Chris Brown,2015
Best Friend,Young Thug,2015
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,2016
Trust,Justin Bieber,2015
Make Me Like You,Gwen Stefani,2016
Hold Up,Beyonce,2016
Pop Style,Drake Featuring The Throne,2016
Levels,Nick Jonas,2015
Hit The Quan,iHeartMemphis,2015
Faithful,Drake Featuring Pimp C & dvsn,2016
About You,Trey Songz,2015
Try Everything,Shakira,2016
Bet You Can't Do It Like Me,DLOW,2015
Saved,Ty Dolla $ign Featuring E-40,2015
"John Cougar, John Deere, John 3:16",Keith Urban,2015
Mr. Misunderstood,Eric Church,2015
Might Be,Luke Nasty,2015
Love Yourself,Justin Bieber,2015
No Pressure,Justin Bieber Featuring Big Sean,2015
Rockin' Around The Christmas Tree,Brenda Lee,1958
Love Drought,Beyonce,2016
Daddy,PSY Featuring CL,2015
Too Good,Drake Featuring Rihanna,2016
Fast Car,Jonas Blue Featuring Dakota,2016
Snapback,Old Dominion,2016
I'm Sorry,Adam Wakefield,2016
Strip It Down,Luke Bryan,2015
New Romantics,Taylor Swift,2015
Emperor's New Clothes,Panic! At The Disco,2016
Jam,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign &  Jamie Foxx",2016
The Sound Of Silence,Disturbed,2015
Somewhere On A Beach,Dierks Bentley,2016
30 For 30 Freestyle,Drake,2015
I Hate U I Love U,gnash Featuring Olivia O'Brien,2016
Youth,Troye Sivan,2015
Hotline Bling,Drake,2015
Ride,twenty one pilots,2015
Lean & Dabb,iLoveMemphis,2015
Middle,DJ Snake Featuring Bipolar Sunshine,2015
Pray You Catch Me,Beyonce,2016
Locked Away,R. City Featuring Adam Levine,2015
A.M.,One Direction,2015
Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,2015
Pillowtalk,Zayn,2016
History,One Direction,2015
Again,Fetty Wap,2015
Used To Love You,Gwen Stefani,2015
All I Ask,Adele,2015
Rich $ex,Future,2015
Head Over Boots,Jon Pardi,2016
Little Red Corvette,Prince,1983
Down In The DM,Yo Gotti,2016
You Should Be Here,Cole Swindell,2015
Great Is Thy Faithfulness,Jordan Smith,2015
FML,Kanye West,2016
Break On Me.,Keith Urban,2015
THat Part,ScHoolboy Q Featuring Kanye West,2016
Girls Just Want To Have Fun,Madi Davis,2015
Ophelia,The Lumineers,2016
Gonna Know We Were Here,Jason Aldean,2015
Space Oddity,David Bowie,1969
Cut It,O.T. Genasis Featuring Young Dolph,2015
Fire & Desire,Drake,2016
Into You,Ariana Grande,2016
Water Under The Bridge,Adele,2015
Climb Every Mountain,Jordan Smith,2015
Walking On A Dream,Empire Of The Sun,2008
Light It Up,Major Lazer Featuring Nyla & Fuse ODG,2015
Sugar,Maroon 5,2015
With You,Drake Featuring PARTYNEXTDOOR,2016
Grammys,Drake Featuring Future,2016
Good To Be Alive (Hallelujah),Andy Grammer,2015
Humble And Kind,Tim McGraw,2016
The Fix,Nelly Featuring Jeremih,2015
Where Are U Now,Skrillex & Diplo With Justin Bieber,2015
Confession,Florida Georgia Line,2015
R.I.C.O.,Meek Mill Featuring Drake,2015
Runnin' (Lose It All),Naughty Boy Featuring Beyonce & Arrow Benjamin,2015
When We Were Young,Adele,2016
Say It,Tory Lanez,2015
Sandcastles,Beyonce,2016
Hands To Myself,Selena Gomez,2016
Moolah,Young Greatness,2015
Hello Friday,Flo Rida Featuring Jason Derulo,2016
Cheap Thrills,Sia Featuring Sean Paul,2016
I'd Just Love To Lay You Down,Barrett Baber,2015
I Would Die 4 U,Prince And The Revolution,1984
Used To Love You Sober,Kane Brown,2015
Gold,Kiiara,2015
I Love This Life,LoCash,2015
Promise,Kid Ink Featuring Fetty Wap,2016
All Night,Beyonce,2016
Infinity,One Direction,2015
Ain't Your Mama,Jennifer Lopez,2016
Came Here To Forget,Blake Shelton,2016
Let's Go Crazy,Prince And The Revolution,1984
Untitled 07 l 2014 - 2016,Kendrick Lamar,2016
30 for 30 Freestyle,Drake,2015
Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,2015
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,2016
Kiss It Better,Rihanna,2016
No,Meghan Trainor,2016
Stressed Out,twenty one pilots,2015
Purpose,Justin Bieber,2015
Lose My Mind,Brett Eldredge,2015
Worth It,Fifth Harmony Featuring Kid Ink,2015
Tennessee Whiskey,Chris Stapleton,2015
Something In The Way You Move,Ellie Goulding,2015
Wherever I Go,OneRepublic,2016
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,2016
God Only Knows,Jordan Smith & Adam Levine,2015
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015
Redemption,Drake,2016
Hasta El Amanecer,Nicky Jam,2016
I'm Comin' Over,Chris Young,2015
Firestone,Kygo Featuring Conrad,2015
Children,Justin Bieber,2015
Feel No Ways,Drake,2016
"Honey, I'm Good.",Andy Grammer,2014
Stay A Little Longer,Brothers Osborne,2015
Classic Man,Jidenna Featuring Roman GianArthur,2015
Formation,Beyonce,2016
Get Ugly,Jason Derulo,2015
Keep The Family Close,Drake,2016
Death Of A Bachelor,Panic! At The Disco,2016
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,2015
Close,Nick Jonas Featuring Tove Lo,2016
Law,Yo Gotti Featuring E-40,2016
If I Could Fly,One Direction,2015
Roses,The Chainsmokers Featuring ROZES,2015
Drag Me Down,One Direction,2015
Buy Me A Boat,Chris Janson,2015
Something New,Zendaya Featuring Chris Brown,2016
Jimmy Choo,Fetty Wap,2015
Don't Mind,Kent Jones,2015
Break Up With Him,Old Dominion,2015
Fly S**t Only,Future,2016
Waves,Kanye West,2016
Sorry,Justin Bieber,2015
How Deep Is Your Love,Calvin Harris & Disciples,2015
Love On The Brain,Rihanna,2016
Writing's On The Wall,Sam Smith,2015
Untitled 02 l 06.23.2014.,Kendrick Lamar,2016
RGF Island,Fetty Wap,2015
Hide Away,Daya,2015
One Call Away,Charlie Puth,2015
Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,2015
Home,One Direction,2015
WTF (Where They From),Missy Elliott Featuring Pharrell Williams,2015
Stand By You,Rachel Platten,2016
Live From The Gutter,Drake & Future,2015
Famous,Kanye West,2016
No Role Modelz,J. Cole,2015
Burning House,Cam,2015
Lights Come On,Jason Aldean,2016
1999,Prince,1982
Out Of The Woods,Taylor Swift,2016
Sorry,Beyonce,2016
On My Mind,Ellie Goulding,2015
Shut Up And Dance,WALK THE MOON,2014
Til It Happens To You,Lady Gaga,2015
Cheerleader,OMI,2015
Never Enough,One Direction,2015
Back To Back,Drake,2015
Summer Sixteen,Drake,2016
Purple Rain,Prince And The Revolution,1984
Watch Out,2 Chainz,2016
2 Phones,Kevin Gates,2016
Little Bit Of You,Chase Bryant,2014
With Them,Young Thug,2016
Daddy Lessons,Beyonce,2016
Love Me,The 1975,2015
Liquor,Chris Brown,2015
Thriller,Michael Jackson,1982
Real Friends,Kanye West,2016
All I Want For Christmas Is You,Mariah Carey,1994
Record Year,Eric Church,2015
Dessert,Dawin,2015
Break Up In A Small Town,Sam Hunt,2014
Down That Road,Alisan Porter,2016
Dangerous Woman,Ariana Grande,2016
Ghost Town,Adam Lambert,2015
Gonna,Blake Shelton,2015
Watch Me,Silento,2014
Been You,Justin Bieber,2015
Wasted Time,Keith Urban,2016
Crash And Burn,Thomas Rhett,2015
Renegades,X Ambassadors,2015
Same Old Love,Selena Gomez,2015
Look At My Dab,Migos,2015
In The Night,The Weeknd,2015
Hype,Drake,2016
Nobody To Blame,Chris Stapleton,2015
Wild Things,Alessia Cara,2016
Loving You Easy,Zac Brown Band,2015
Black Magic,Little Mix,2015
That Don't Sound Like You,Lee Brice,2014
Irresistible,Fall Out Boy,2015
Might Be,DJ Luke Nasty,2016
Sorry,Rick Ross Featuring Chris Brown,2015
Freedom,Beyonce Featuring Kendrick Lamar,2016
Let It Go,James Bay,2015
What Do You Mean?,Justin Bieber,2015
Really Really,Kevin Gates,2016
Digits,Young Thug,2016
When Doves Cry,Prince,1984
Plastic Bag,Drake & Future,2015
We Went,Randy Houser,2015
Prisoner,The Weeknd Featuring Lana Del Rey,2016
Like I Would,Zayn,2016
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,2015
Earned It (Fifty Shades Of Grey),The Weeknd,2015
Light It Up,Major Lazer Featuring Nyla,2015
Controlla,Drake,2016
Go Flex,Post Malone,2016
