Are You Sincere,Andy Williams,54150
Chanson D'Amour,Art and Dotty Todd,23
Chantilly Lace,Big Bopper,4077
Sail Along Silvery Moon,Billy Vaughn,3773
Raunchy,Billy Vaughn,3773
Queen of the Hop,Bobby Darin,39930
Splish Splash,Bobby Darin,39930
Over And Over,Bobby Day,3101
Do You Want To Dance?,Bobby Freeman,610
Peggy Sue,Buddy Holly,111468
Tequila,Champs,90184
Maybe,Chantels,2397
Lollipop,Chordettes,14517
Sweet Little Sixteen,Chuck Berry,182181
Johnny B Goode,Chuck Berry,182181
What Am I Living For,Chuck Willis,844
Yakety Yak,Coasters,21720
Who's Sorry Now,Connie Francis,26697
It's Only Make Believe,Conway Twitty,57622
Oh Julie,Crescendos,35
Oh Boy,Crickets,5694
At The Hop,Danny and The Juniors,1712
Witch Doctor,David Seville,572
Return To Me,Dean Martin,209977
The Stroll,Diamonds,769724
Volare (Nel Blu Dipinto Di Blu),Domenico Modugno,17983
Oh Lonesome Me,Don Gibson,4098
Rebel-'Rouser,Duane Eddy,8477
The End,Earl Grant,629
For Your Love,Ed Townsend,3385
Summertime Blues,Eddie Cochran,29864
Little Star,Elegants,464
Don't Ask Me Why,Elvis Presley,1088162
One Night,Elvis Presley,1088162
I Beg Of You,Elvis Presley,1088162
Don't,Elvis Presley,1088162
Hard-Headed Woman,Elvis Presley,1088162
Doncha' Think It's Time,Elvis Presley,1088162
Wear My Ring Around Your Neck,Elvis Presley,1088162
I Got Stung,Elvis Presley,1088162
Devoted To You,Everly Brothers,51500
All I Have To Do Is Dream,Everly Brothers,51500
Problems,Everly Brothers,51500
Bird Dog ,Everly Brothers,51500
Claudette,Everly Brothers,51500
26 Miles,Four Preps,456
Big Man,Four Preps,456
All the Way,Frank Sinatra,1078273
Witchcraft,Frank Sinatra ,1078273
I'll Wait For You,Frankie Avalon,3865
Dede Dinah,Frankie Avalon,3865
Ginger Bread,Frankie Avalon,3865
Why Don't They Understand,George Hamilton Iv,1169
Buzz-Buzz-Buzz,Hollywood Flames,123
My True Love,Jack Scott,1460
Leroy,Jack Scott,1460
Breathless,Jerry Lee Lewis,74956
Great Balls Of Fire,Jerry Lee Lewis,74956
Secretly,Jimmie Rodgers,4146
Kisses Sweeter Than Wine,Jimmie Rodgers,4146
Just A Dream,Jimmy Clanton,522
The Walk,Jimmy McCracklin,369
Ballad of a Teenage Queen,Johnny Cash,1115009
Guess Things Happen That Way,Johnny Cash,1115009
Willie and the Hand Jive,Johnny Otis Show,112
When,Kalin Twins,169
Tom Dooley,Kingston Trio,7964
He's Got The Whole World In His Hands,Laurie London,151
Tears On My Pillow,Little Anthony and The Imperials,3233
Lazy Mary,Lou Monte,2096
Sugartime,McGuire Sisters,1376
March From the River Kwai and Colonel Bogey March,Mitch Miller,952
Book Of Love,Monotones,1073
Looking Back,Nat King Cole,228615
Western Movies,Olympics,363
It's Too Soon To Know,Pat Boone,15533
Sugar Moon,Pat Boone,15533
April Love,Pat Boone,15533
Wonderful Time Up There,Pat Boone,15533
You Are My Destiny,Paul Anka,40176
Fever,Peggy Lee,49547
Patricia,Perez Prado,11646
Catch A Falling Star,Perry Como,25662
Magic Moments,Perry Como,25662
Kewpie Doll,Perry Como,25662
Twilight Time,Platters,53630
Born Too Late,Poni Tails,245
Lonesome Town,Rick Nelson,284
Poor Little Fool,Ricky Nelson,28829
Waitin' In School,Ricky Nelson,28829
Stood Up,Ricky Nelson,28829
I Got a Feeling,Ricky Nelson,28829
Susie Darlin',Robin Luke,115
Near You,Roger Williams,1594
Don't Let Go,Roy Hamilton,926
Short Shorts,Royal Teens,44
Poor Boy,Royaltones,48
The Purple People Eater,Sheb Wooley,1305
Get A Job,Silhouettes,550
To Know Him Is To Love Him,Teddy Bears,84
It's All In The Game,Tommy Edwards,813
Liechtensteiner Polka,Will Glahe,179
Hawaiian Wedding Song,Andy Williams,54150
Lonely Street,Andy Williams,54150
Tall Paul,Annette,21211
I've Had It,Bell Notes,37
The All American Boy,Bill Parsons,23
Gotta Travel On,Billy Grammer,72
Mack The Knife,Bobby Darin,39930
Dream Lover,Bobby Darin,39930
Kissin' Time,Bobby Rydell,1951
It's Just A Matter Of Time,Brook Benton,6801
Endlessly,Brook Benton,6801
The Three Bells,Browns,15468
My Heart Is An Open Book,Carl Dobkins Jr.,41
Petite Fleur,Chris Barber's Jazz Band,34
A Lover's Question,Clyde Mcphatter,2328
Along Came Jones,Coasters,21720
Charlie Brown,Coasters,21720
Poison Ivy,Coasters,21720
My Happiness,Connie Francis,26697
Frankie,Connie Francis,26697
Lipstick On Your Collar,Connie Francis,26697
16 Candles,Crests,2575
The Happy Organ,"Dave ""Baby"" Cortez",401
Don't You Know,Della Reese,2644
What A Diff'rence A Day Makes,Dinah Washington,49188
A Teenager In Love,Dion and The Belmonts,16928
There Goes My Baby,Drifters,48618
Forty Miles Of Bad Road,Duane Eddy,8477
My Wish Came True,Elvis Presley,1088162
(Now And Then There's) A Fool Such As I,Elvis Presley,1088162
A Big Hunk O' Love,Elvis Presley,1088162
I Need Your Love Tonight,Elvis Presley,1088162
In The Mood,Ernie Fields Orchestra,16
Take A Message To Mary,Everly Brothers,51500
('Til) I Kissed You,Everly Brothers,51500
Tiger,Fabian,48810
Turn Me Loose,Fabian,48810
You're So Fine,Falcons,2100
I Want To Walk You Home,Fats Domino,45428
So Fine,Fiestas,190
I Only Have Eyes For You,Flamingos,59
Mr. Blue,Fleetwoods,2943
Come Softly To Me,Fleetwoods,2943
Only You,Franck Pourcel,6164
High Hopes,Frank Sinatra ,1078273
A Boy Without A Girl,Frankie Avalon,3865
Bobby Sox To Stockings,Frankie Avalon,3865
Venus,Frankie Avalon,3865
Just Ask Your Heart,Frankie Avalon,3865
Sea Cruise,Frankie Ford,494
Heartaches By The Number,Guy Mitchell,2643
Sorry (I Ran All The Way Home),Impalas,231
Morgen,Ivo Robic,243
Goodbye Baby,Jack Scott,1460
Lonely Teardrops,Jackie Wilson,28752
That's Why,Jackie Wilson,28752
Baby Talk,Jan and Dean,4589
Primrose Lane,Jerry Wallace,245
Red River Rock,Johnny and The Hurricanes,1815
The Battle Of New Orleans,Johnny Horton,15375
The Tijuana Jail,Kingston Trio,7964
I Cried A Tear,Lavern Baker,4394
I'm Gonna Get Married,Lloyd Price,3554
Stagger Lee,Lloyd Price,3554
Personality,Lloyd Price,3554
Quiet Village,Martin Denny,4273
Battle Hymn Of The Republic,Mormon Tabernacle Choir,25484
Put Your Head On My Shoulder,Paul Anka,40176
Lonely Boy,Paul Anka,40176
Sea Of Love,Phil Phillips and The Twilights,176
Smoke Gets In Your Eyes,Platters,53630
Enchanted,Platters,53630
Bongo Rock,Preston Epps,96
Peter Gunn Theme,Ray Anthony,1219
What'd I Say,Ray Charles,377439
Sweeter Than You,Ricky Nelson,28829
Never Be Anyone Else But You,Ricky Nelson,28829
It's Late,Ricky Nelson,28829
Just A Little Too Much,Ricky Nelson,28829
Donna,Ritchie Valens,38492
Teen Beat,Sandy Nelson,1409
Sleep Walk,Santo and Johnny,10201
Broken-hearted Melody,Sarah Vaughan,58042
It Was I,Skip and Flip,29
Since I Don't Have You,Skyliners,1742
Waterloo,Stonewall Jackson,1647
Tragedy,Thomas Wayne,44
Guitar Boogie Shuffle,Virtues,139
Kansas City,Wilbert Harrison,810
Deck Of Cards,Wink Martindale,201
The Village Of St. Bernadette,Andy Williams,54150
In My Little Corner Of The World,Anita Bryant,235
O Dio Mio,Annette,21211
Money,Barret Strong,?
White Silver Sands,Bill Black's Combo,79
Let The Little Girl Dance,Billy Bland,148
Let's Think About Livin',Bob Luman,1097
Beyond The Sea,Bobby Darin,39930
Little Bitty Girl,Bobby Rydell,1951
Wild One,Bobby Rydell,1951
Swingin' School,Bobby Rydell,1951
Devil Or Angel,Bobby Vee,11623
I'm Sorry,Brenda Lee,27192
I Want To Be Wanted,Brenda Lee,27192
That's All You Gotta Do,Brenda Lee,27192
Sweet Nothin's,Brenda Lee,27192
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,3030
Kiddio,Brook Benton,6801
Greenfields,Brothers Four,2858
The Old Lamplighter,Browns,15468
Lonely Weekends,Charlie Rich,9365
The Twist,Chubby Checker,21959
Mama,Connie Francis,26697
Among My Souvenirs,Connie Francis,26697
My Heart Has A Mind Of Its Own,Connie Francis,26697
Everybody's Somebody's Fool,Connie Francis,26697
Lonely Blue Boy,Conway Twitty,57622
Step By Step,Crests,2575
A Rockin' Good Way,Dinah Washington and Brook Benton,212
Where Or When,Dion and The Belmonts,16928
Mission Bell,Donnie Brooks,77
Save The Last Dance For Me,Drifters,48618
Because They're Young,Duane Eddy,8477
Mack the Knife,Ella Fitzgerald,329451
It's Now Or Never,Elvis Presley,1088162
Stuck On You,Elvis Presley,1088162
Let It Be Me,Everly Brothers,51500
So Sad,Everly Brothers,51500
When Will I Be Loved,Everly Brothers,51500
Cathy's Clown,Everly Brothers,51500
Walking To New Orleans,Fats Domino,45428
Mule Skinner Blues,Fendermen,342
Theme From The Apartment,Ferrante and Teicher,1437
Down By The Station,Four Preps,456
Nice 'n Easy,Frank Sinatra ,1078273
Why,Frankie Avalon,3865
Way Down Yonder In New Orleans,Freddie Cannon,1115
Finger Poppin' Time,Hank Ballard and The Midnighters,328
"Please Help Me, I'm Falling",Hank Locklin,1878
Alley Oop,Hollywood Argyles,114
Burning Bridges,Jack Scott,1460
What In The World's Come Over You,Jack Scott,1460
Night,Jackie Wilson,28752
Doggin' Around,Jackie Wilson,28752
He'll Have To Stay,Jeanne Black,19
He'll Have To Go,Jim Reeves,34878
A Million To One,Jimmy Charles,71
Go Jimmy Go,Jimmy Clanton,522
Handy Man,Jimmy Jones,715
Good Timin',Jimmy Jones,715
You Talk Too Much,Joe Jones,1092
Beatnik Fly,Johnny and The Hurricanes,1815
Dreamin',Johnny Burnette,4945
Sink The Bismark,Johnny Horton,15375
Running Bear,Johnny Preston,1074
Cradle Of Love,Johnny Preston,1074
Poetry In Motion,Johnny Tillotson,4199
Mr. Custer,Larry Verne,130
Forever,Little Dippers,10
Lady Luck,Lloyd Price,3554
Teen Angel,Mark Dinning,294
El Paso,Marty Robbins,29250
I Love The Way You Love,Marv Johnson,528
You've Got What It Takes,Marv Johnson,528
Stay,Maurice Williams,5509
Stairway To Heaven,Neil Sedaka,24110
It's Time To Cry,Paul Anka,40176
Puppy Love,Paul Anka,40176
My Home Town,Paul Anka,40176
Happy-Go-Lucky Me,Paul Evans,254
"Theme From ""A Summer Place""",Percy Faith,3233
Harbor Lights,Platters,53630
Georgia On My Mind,Ray Charles,377439
Tell Laura I Love Her,Ray Peterson,1537
Young Emotions,Ricky Nelson,28829
Love You So,Ron Holden,50
Only The Lonely,Roy Orbison,145877
Chain Gang,Sam Cooke,208616
Wonderful World,Sam Cooke,208616
Cherry Pie,Skip and Flip,29
Pretty Blue Eyes,Steve Lawrence,1353
Footsteps,Steve Lawrence,1353
The Big Hurt,Toni Fisher,96
"Walk, Dont Run",Ventures,28912
Take Good Care Of Her,Adam Wade,97
The Writing On The Wall,Adam Wade,97
Yellow Bird,Arthur Lyman,1411
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann,919
Stand By Me,Ben E. King,59031
Spanish Harlem,Ben E. King,59031
Mexico,Bob Moore,83
You Must Have Been A Beautiful Baby,Bobby Darin,39930
One Track Mind,Bobby Lewis,299
Tossin' And Turnin',Bobby Lewis,299
Good Time Baby,Bobby Rydell,1951
Take Good Care Of My Baby,Bobby Vee,11623
Rubber Ball,Bobby Vee,11623
You Can Depend On Me,Brenda Lee,27192
Dum Dum,Brenda Lee,27192
Think Twice,Brook Benton,6801
The Boll Weevil Song,Brook Benton,6801
Baby Sittin' Boogie,Buzz Clifford,200
Those Oldies But Goodies,Caesar and The Romans,78
There's A Moon Out Tonight,Capris,902
Gee Whiz (Look At His Eyes),Carla Thomas,3756
I Like It Like That,Chris Kenner,466
