title,spotify_id,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Hit The Quan,4OjuzM3rTWp3q60mEldNSF,iLoveMemphis,70,0.488,8,-8.253,1,0.362,0.000235,0,0.0488,0.624,160.018,181081,4
El Perdon (Forgiveness),4uNIeEAy1CRUHRJZRjTHRo,Nicky Jam & Enrique Iglesias,65,0.719,8,-3.839,1,0.0357,0.256,0,0.0909,0.666,90.013,206667,4
Never Forget You,6WLS56xiRrXjSm9RSdL3zD,Zara Larsson & MNEK,93,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.292,145.992,213428,4
I Got The Boy,6VZCuvHwk3xmjwgKga0bNi,Jana Kramer,65,0.569,0,-5.954,1,0.0271,0.26,0,0.127,0.364,149.987,201013,4
Love Myself,36phXHOKx8rO7CMp2vNX4x,Hailee Steinfeld,76,0.762,0,-6.737,0,0.0811,0.00296,0,0.435,0.282,122.91,218773,4
Me, Myself & I,0KMYgSe9JWHloFeEVBU6qq,G-Eazy x Bebe Rexha,87,0.686,0,-6.106,0,0.0869,0.0174,0,0.11,0.384,111.977,252142,4
Noise,3tBSdTfZuCzgA2PfQrqKpk,Kenny Chesney,75,0.803,0,-4.064,1,0.0279,0.0081,0,0.0789,0.569,109.967,206533,4
Don't Let Me Down,?,The Chainsmokers Featuring Daya,?,?,?,?,?,?,?,?,?,?,?,?,?,?
No Sense,?,Justin Bieber Featuring Travi$ Scott,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Down In The DM,?,Yo Gotti Featuring Nicki Minaj,?,?,?,?,?,?,?,?,?,?,?,?,?,?
I'll Show You,0SNIAtRCPVVLoGEPcuHSIc,Justin Bieber,75,0.611,9,-6.691,0,0.129,0.0427,6.28e-05,0.184,0.0679,191.447,199947,4
Jugg,?,Fetty Wap Featuring Monty,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Every Breath You Take,4hZu7IefxrjzuoGjhWmhOu,Hannah Huston,29,0.464,4,-5.767,0,0.0309,0.426,0.00119,0.151,0.113,163.548,191693,4
T-Shirt,1zWZvrk13cL8Sl3VLeG57F,Thomas Rhett,78,0.857,2,-5.381,1,0.0397,0.0318,0,0.0212,0.757,95.996,227693,4
Play No Games,?,Big Sean Featuring Chris Brown & Ty Dolla $ign,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Back To Sleep,4wM4c5ly3GR4YYgWSePlSG,Chris Brown,76,0.675,9,-6.308,0,0.213,0.119,0,0.483,0.794,92.832,267156,4
Little More (Royalty),4lvQiZUhHgG8Oldd8S97hd,Chris Brown,68,0.516,6,-8.088,1,0.035,0.0195,0,0.139,0.329,133.71,260453,4
7 Years,5kqIPrATaCc2LqxVWzQGbk,Lukas Graham,96,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.343,119.992,237300,4
Trap Queen,2d8JP84HNLKhmd6IYOoupQ,Fetty Wap,82,0.873,7,-3.803,1,0.128,0.0244,0,0.354,0.808,148.075,222093,4
We Are,?,Justin Bieber Featuring Nas,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Exchange,43PuMrRfbyyuz4QpZ3oAwN,Bryson Tiller,86,0.433,6,-10.598,1,0.185,0.108,0,0.135,0.272,160.14,194613,4
White Iverson,2N0NifjyXAdMOB4KBGvBJ6,Post Malone,82,0.521,7,-8.732,1,0.0366,0.236,0,0.0802,0.324,130.071,255173,4
Zero,0j4giTw6pwgbFEHwMm4VWe,Chris Brown,67,0.792,1,-4.64,0,0.0706,0.0645,0,0.0703,0.834,122.003,213876,4
Best Friend,33JcUj9qQDayKswunZP9ar,Young Thug,78,0.598,8,-5.534,1,0.0713,0.0358,0,0.358,0.424,127.029,213000,4
No Problem,?,Chance The Rapper Featuring Lil Wayne & 2 Chainz,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Trust,00IH8ZjI9ZGB51WRX1Oesj,Justin Bieber,66,0.487,7,-8.444,0,0.168,0.067,0,0.166,0.452,72.674,203613,3
Make Me Like You,2WIxwn8LZRI7knO1VbwdaE,Gwen Stefani,68,0.72,5,-4.702,0,0.0486,0.0334,1e-05,0.128,0.825,118.031,216947,4
Hold Up,2vXniiJEKL8yOQbXCjlG8K,Beyonce,0,0.18,0,-19.741,1,0.0851,0.994,0.963,0.102,0.155,164.936,210000,4
Pop Style,?,Drake Featuring The Throne,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Levels,6pf9datdAtxQj4EU8UYHSx,Nick Jonas,68,0.664,5,-4.667,1,0.437,0.0493,0,0.267,0.647,200.33,167693,4
Hit The Quan,4OjuzM3rTWp3q60mEldNSF,iHeartMemphis,70,0.488,8,-8.253,1,0.362,0.000235,0,0.0488,0.624,160.018,181081,4
Faithful,?,Drake Featuring Pimp C & dvsn,?,?,?,?,?,?,?,?,?,?,?,?,?,?
About You,2ssYQKMqVUkoQgi02PmDPB,Trey Songz,66,0.564,0,-4.066,0,0.0837,0.0959,0,0.26,0.692,204.002,196900,4
Try Everything,4THhG6r7WNnh5j8AtiUiSI,Shakira,64,0.614,1,-4.866,1,0.0304,0.0198,0,0.0903,0.536,115.481,196707,4
Bet You Can't Do It Like Me,?,DLOW,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Saved,?,Ty Dolla $ign Featuring E-40,?,?,?,?,?,?,?,?,?,?,?,?,?,?
John Cougar, John Deere, John 3:16,1MLiJQozVUdCCNudp1cDbn,Keith Urban,70,0.777,0,-6.971,1,0.0997,0.0621,1.83e-06,0.0792,0.598,170.021,221599,4
Mr. Misunderstood,79dlQxvdsCDApoM8XChkpy,Eric Church,74,0.802,7,-6.602,1,0.0429,0.0494,0,0.326,0.568,129.405,319240,4
Might Be,7KLB6Jptw9wyQXkSLiO8qh,Luke Nasty,73,0.782,9,-6.766,0,0.458,0.378,0,0.114,0.699,74.037,210704,4
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,87,0.376,4,-9.954,1,0.453,0.856,0,0.285,0.559,102.541,233720,4
No Pressure,?,Justin Bieber Featuring Big Sean,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Rockin' Around The Christmas Tree,09OojFvtrM9YRzRjnXqJjA,Brenda Lee,34,0.641,8,-8.915,1,0.0386,0.568,0,0.224,0.831,141.002,126146,4
Love Drought,?,Beyonce,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Daddy,?,PSY Featuring CL,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Too Good,?,Drake Featuring Rihanna,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Fast Car,?,Jonas Blue Featuring Dakota,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Snapback,7I5fYc4qKJddht8Ozhqqdx,Old Dominion,78,0.793,5,-3.577,1,0.0333,0.305,3.23e-06,0.1,0.672,100.991,206507,4
I'm Sorry,1LWgoxKUgZIeodlLY7n3vA,Adam Wakefield,30,0.47,1,-4.655,1,0.0287,0.643,1.22e-06,0.111,0.292,139.904,208720,4
Strip It Down,3PqpjQPv4ciXBsPBT6rRtm,Luke Bryan,73,0.867,9,-3.563,1,0.0455,0.407,0,0.0829,0.732,137.958,241667,4
New Romantics,1ANrGOhBxCQQssOZQrrVlt,Taylor Swift,34,0.919,7,-5.984,1,0.243,0.0182,0,0.12,0.264,121.998,217021,4
