title,spotify_id,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Hit The Quan,4OjuzM3rTWp3q60mEldNSF,iLoveMemphis,0.488
El Perdon (Forgiveness),4uNIeEAy1CRUHRJZRjTHRo,Nicky Jam & Enrique Iglesias,0.719
Never Forget You,6WLS56xiRrXjSm9RSdL3zD,Zara Larsson & MNEK,0.732
I Got The Boy,6VZCuvHwk3xmjwgKga0bNi,Jana Kramer,0.569
Love Myself,36phXHOKx8rO7CMp2vNX4x,Hailee Steinfeld,0.762
Me, Myself & I,0KMYgSe9JWHloFeEVBU6qq,G-Eazy x Bebe Rexha,0.686
Noise,3tBSdTfZuCzgA2PfQrqKpk,Kenny Chesney,0.803
Don't Let Me Down,?,The Chainsmokers Featuring Daya,?,?,?,?,?,?,?,?,?,?,?,?,?,?
No Sense,?,Justin Bieber Featuring Travi$ Scott,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Down In The DM,?,Yo Gotti Featuring Nicki Minaj,?,?,?,?,?,?,?,?,?,?,?,?,?,?
I'll Show You,0SNIAtRCPVVLoGEPcuHSIc,Justin Bieber,0.611
Jugg,?,Fetty Wap Featuring Monty,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Every Breath You Take,4hZu7IefxrjzuoGjhWmhOu,Hannah Huston,0.464
T-Shirt,1zWZvrk13cL8Sl3VLeG57F,Thomas Rhett,0.857
Play No Games,?,Big Sean Featuring Chris Brown & Ty Dolla $ign,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Back To Sleep,4wM4c5ly3GR4YYgWSePlSG,Chris Brown,0.675
Little More (Royalty),4lvQiZUhHgG8Oldd8S97hd,Chris Brown,0.516
7 Years,5kqIPrATaCc2LqxVWzQGbk,Lukas Graham,0.473
Trap Queen,2d8JP84HNLKhmd6IYOoupQ,Fetty Wap,0.873
We Are,?,Justin Bieber Featuring Nas,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Exchange,43PuMrRfbyyuz4QpZ3oAwN,Bryson Tiller,0.433
White Iverson,2N0NifjyXAdMOB4KBGvBJ6,Post Malone,0.521
Zero,0j4giTw6pwgbFEHwMm4VWe,Chris Brown,0.792
Best Friend,33JcUj9qQDayKswunZP9ar,Young Thug,0.598
No Problem,?,Chance The Rapper Featuring Lil Wayne & 2 Chainz,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Trust,00IH8ZjI9ZGB51WRX1Oesj,Justin Bieber,0.487
Make Me Like You,2WIxwn8LZRI7knO1VbwdaE,Gwen Stefani,0.72
