song,artist,genre,,
Hit The Quan,iLoveMemphis,?,,
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,?,,
Never Forget You,Zara Larsson & MNEK,?,,
I Got The Boy,Jana Kramer,?,,
Love Myself,Hailee Steinfeld,pop,,
Me, Myself & I,Hip-Hop,Hip-Hop,
Noise,Kenny Chesney,pop,,
Don't Let Me Down,The Chainsmokers Featuring Daya,?,,
No Sense,Justin Bieber Featuring Travi$ Scott,?,,
Down In The DM,Yo Gotti Featuring Nicki Minaj,?,,
I'll Show You,Justin Bieber,pop,,
Jugg,Fetty Wap Featuring Monty,?,,
Every Breath You Take,Hannah Huston,?,,
T-Shirt,Thomas Rhett,?,,
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,?,,
Back To Sleep,Chris Brown,?,,
Little More (Royalty),Chris Brown,rnb,,
7 Years,Lukas Graham,pop,,
Trap Queen,Fetty Wap,Hip-Hop,,
We Are,Justin Bieber Featuring Nas,?,,
Exchange,Bryson Tiller,?,,
White Iverson,Post Malone,?,,
Zero,Chris Brown,?,,
Best Friend,Young Thug,?,,
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,?,,
Trust,Justin Bieber,?,,
Make Me Like You,Gwen Stefani,pop,,
Hold Up,Beyonce,?,,
Pop Style,Drake Featuring The Throne,Hip-Hop,,
Levels,Nick Jonas,pop,,
Hit The Quan,iHeartMemphis,?,,
Faithful,Drake Featuring Pimp C & dvsn,?,,
About You,Trey Songz,?,,
Try Everything,Shakira,pop,,
Bet You Can't Do It Like Me,DLOW,?,,
Saved,Ty Dolla $ign Featuring E-40,?,,
John Cougar, John Deere,?,Keith Urban,?
Mr. Misunderstood,Eric Church,?,,
Might Be,Luke Nasty,?,,
Love Yourself,Justin Bieber,pop,,
No Pressure,Justin Bieber Featuring Big Sean,?,,
Rockin' Around The Christmas Tree,Brenda Lee,oldies,,
Love Drought,Beyonce,?,,
Daddy,PSY Featuring CL,?,,
Too Good,Drake Featuring Rihanna,?,,
Fast Car,Jonas Blue Featuring Dakota,?,,
Snapback,Old Dominion,?,,
I'm Sorry,Adam Wakefield,?,,
Strip It Down,Luke Bryan,?,,
New Romantics,Taylor Swift,pop,,
Emperor's New Clothes,Panic! At The Disco,indie,,
Jam,Kevin Gates Featuring Trey Songz,?,?,
The Sound Of Silence,Disturbed,rock,,
Somewhere On A Beach,Dierks Bentley,?,,
30 For 30 Freestyle,Drake,?,,
I Hate U I Love U,gnash Featuring Olivia O'Brien,?,,
Youth,Troye Sivan,pop,,
Hotline Bling,Drake,Hip-Hop,,
Ride,twenty one pilots,indie,,
Lean & Dabb,iLoveMemphis,?,,
Middle,DJ Snake Featuring Bipolar Sunshine,electronic,,
Pray You Catch Me,Beyonce,?,,
Locked Away,R. City Featuring Adam Levine,pop,,
A.M.,One Direction,?,,
Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,pop,,
Pillowtalk,Zayn,pop,,
History,One Direction,pop,,
Again,Fetty Wap,Hip-Hop,,
Used To Love You,Gwen Stefani,pop,,
All I Ask,Adele,?,,
Rich $ex,Future,?,,
Head Over Boots,Jon Pardi,country,,
Little Red Corvette,Prince,pop,,
Down In The DM,Yo Gotti,?,,
You Should Be Here,Cole Swindell,?,,
Great Is Thy Faithfulness,Jordan Smith,?,,
FML,Kanye West,rnb,,
Break On Me.,Keith Urban,?,,
THat Part,ScHoolboy Q Featuring Kanye West,Hip-Hop,,
Girls Just Want To Have Fun,Madi Davis,?,,
Ophelia,The Lumineers,?,,
Gonna Know We Were Here,Jason Aldean,country,,
Space Oddity,David Bowie,classic rock,,
Cut It,O.T. Genasis Featuring Young Dolph,?,,
Fire & Desire,Drake,?,,
Into You,Ariana Grande,pop,,
Water Under The Bridge,Adele,Disco,,
Climb Every Mountain,Jordan Smith,?,,
Walking On A Dream,Empire Of The Sun,electronic,,
Light It Up,Major Lazer Featuring Nyla & Fuse ODG,?,,
Sugar,Maroon 5,pop,,
With You,Drake Featuring PARTYNEXTDOOR,?,,
Grammys,Drake Featuring Future,?,,
Good To Be Alive (Hallelujah),Andy Grammer,?,,
Humble And Kind,Tim McGraw,?,,
The Fix,Nelly Featuring Jeremih,?,,
Where Are U Now,Skrillex & Diplo With Justin Bieber,?,,
Confession,Florida Georgia Line,?,,
R.I.C.O.,Meek Mill Featuring Drake,?,,
Runnin' (Lose It All),Naughty Boy Featuring Beyonce & Arrow Benjamin,?,,
When We Were Young,Adele,soul,,
Say It,Tory Lanez,soul,,
Sandcastles,Beyonce,?,,
Hands To Myself,Selena Gomez,pop,,
Moolah,Young Greatness,?,,
Hello Friday,Flo Rida Featuring Jason Derulo,?,,
Cheap Thrills,Sia Featuring Sean Paul,pop,,
I'd Just Love To Lay You Down,Barrett Baber,?,,
I Would Die 4 U,Prince And The Revolution,pop,,
Used To Love You Sober,Kane Brown,?,,
Gold,Kiiara,electronic,,
I Love This Life,LoCash,?,,
Promise,Kid Ink Featuring Fetty Wap,?,,
All Night,Beyonce,?,,
Infinity,One Direction,?,,
Ain't Your Mama,Jennifer Lopez,pop,,
Came Here To Forget,Blake Shelton,?,,
Let's Go Crazy,Prince And The Revolution,pop,,
Untitled 07 l 2014 - 2016,Kendrick Lamar,?,,
30 for 30 Freestyle,Drake,?,,
Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,?,,
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,?,,
Kiss It Better,Rihanna,pop,,
No,Meghan Trainor,pop,,
Stressed Out,twenty one pilots,indie,,
Purpose,Justin Bieber,?,,
Lose My Mind,Brett Eldredge,?,,
Worth It,Fifth Harmony Featuring Kid Ink,pop,,
Tennessee Whiskey,Chris Stapleton,?,,
Something In The Way You Move,Ellie Goulding,pop,,
Wherever I Go,OneRepublic,pop,,
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,?,,
God Only Knows,Jordan Smith & Adam Levine,?,,
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,?,,
Redemption,Drake,Hip-Hop,,
Hasta El Amanecer,Nicky Jam,?,,
I'm Comin' Over,Chris Young,?,,
Firestone,Kygo Featuring Conrad,electronic,,
Children,Justin Bieber,?,,
Feel No Ways,Drake,Hip-Hop,,
Honey, I'm Good.,pop,pop,
Stay A Little Longer,Brothers Osborne,country,,
Classic Man,Jidenna Featuring Roman GianArthur,rnb,,
Formation,Beyonce,?,,
Get Ugly,Jason Derulo,?,,
Keep The Family Close,Drake,Hip-Hop,,
Death Of A Bachelor,Panic! At The Disco,indie,,
Huntin', Fishin' & Lovin' Every Day,Luke Bryan,?,
Close,Nick Jonas Featuring Tove Lo,?,,
Law,Yo Gotti Featuring E-40,?,,
If I Could Fly,One Direction,pop,,
Roses,The Chainsmokers Featuring ROZES,electronic,,
Drag Me Down,One Direction,pop,,
Buy Me A Boat,Chris Janson,country,,
Something New,Zendaya Featuring Chris Brown,?,,
Jimmy Choo,Fetty Wap,?,,
Don't Mind,Kent Jones,pop,,
Break Up With Him,Old Dominion,?,,
Fly S**t Only,Future,?,,
Waves,Kanye West,Hip-Hop,,
Sorry,Justin Bieber,pop,,
How Deep Is Your Love,Calvin Harris & Disciples,?,,
Love On The Brain,Rihanna,pop,,
Writing's On The Wall,Sam Smith,pop,,
Untitled 02 l 06.23.2014.,Kendrick Lamar,?,,
RGF Island,Fetty Wap,?,,
Hide Away,Daya,?,,
One Call Away,Charlie Puth,pop,,
Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,?,,
Home,One Direction,?,,
WTF (Where They From),Missy Elliott Featuring Pharrell Williams,?,,
Stand By You,Rachel Platten,pop,,
Live From The Gutter,Drake & Future,?,,
Famous,Kanye West,rap,,
No Role Modelz,J. Cole,Hip-Hop,,
Burning House,Cam,country,,
Lights Come On,Jason Aldean,?,,
1999,Prince,funk,,
Out Of The Woods,Taylor Swift,pop,,
Sorry,Beyonce,rnb,,
On My Mind,Ellie Goulding,pop,,
Shut Up And Dance,WALK THE MOON,pop,,
Til It Happens To You,Lady Gaga,pop,,
Cheerleader,OMI,reggae,,
Never Enough,One Direction,?,,
Back To Back,Drake,Hip-Hop,,
Summer Sixteen,Drake,Hip-Hop,,
Purple Rain,Prince And The Revolution,pop,,
Watch Out,2 Chainz,?,,
2 Phones,Kevin Gates,?,,
Little Bit Of You,Chase Bryant,?,,
With Them,Young Thug,rap,,
Daddy Lessons,Beyonce,?,,
Love Me,The 1975,pop,,
Liquor,Chris Brown,rnb,,
Thriller,Michael Jackson,pop,,
Real Friends,Kanye West,?,,
All I Want For Christmas Is You,Mariah Carey,pop,,
Record Year,Eric Church,?,,
Dessert,Dawin,electronic,,
Break Up In A Small Town,Sam Hunt,country,,
Down That Road,Alisan Porter,?,,
Dangerous Woman,Ariana Grande,pop,,
Ghost Town,Adam Lambert,pop,,
Gonna,Blake Shelton,country,,
Watch Me,Silento,?,,
Been You,Justin Bieber,pop,,
Wasted Time,Keith Urban,?,,
Crash And Burn,Thomas Rhett,?,,
Renegades,X Ambassadors,indie,,
Same Old Love,Selena Gomez,pop,,
Look At My Dab,Migos,?,,
In The Night,The Weeknd,electronic,,
Hype,Drake,Hip-Hop,,
Nobody To Blame,Chris Stapleton,?,,
Wild Things,Alessia Cara,?,,
Loving You Easy,Zac Brown Band,country,,
Black Magic,Little Mix,pop,,
That Don't Sound Like You,Lee Brice,?,,
Irresistible,Fall Out Boy,rock,,
Might Be,DJ Luke Nasty,?,,
Sorry,Rick Ross Featuring Chris Brown,?,,
Freedom,Beyonce Featuring Kendrick Lamar,soul,,
Let It Go,James Bay,indie,,
What Do You Mean?,Justin Bieber,pop,,
Really Really,Kevin Gates,?,,
Digits,Young Thug,?,,
When Doves Cry,Prince,funk,,
Plastic Bag,Drake & Future,?,,
We Went,Randy Houser,?,,
Prisoner,The Weeknd Featuring Lana Del Rey,?,,
Like I Would,Zayn,pop,,
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,?,,
Earned It (Fifty Shades Of Grey),The Weeknd,pop,,
Light It Up,Major Lazer Featuring Nyla,?,,
Controlla,Drake,Hip-Hop,,
Go Flex,Post Malone,?,,
Church Bells,Carrie Underwood,country,,
Uber Everywhere,MadeinTYO,Hip-Hop,,
Change Locations,Drake & Future,?,,
100,The Game Featuring Drake,?,,
My Boo,Ghost Town DJ's,rnb,,
Jingle Bell Rock,Bobby Helms,oldies,,
Body,Dreezy Featuring Jeremih,electronic,,
Bang My Head,David Guetta Featuring Sia & Fetty Wap,?,,
Gotta Lotta,2 Chainz Featuring Lil Wayne,?,,
Weston Road Flows,Drake,Hip-Hop,,
Ginza,J Balvin,?,,
Childs Play,Drake,Hip-Hop,,
Don't,Bryson Tiller,soul,,
Blackstar,David Bowie,jazz,,
My Church,Maren Morris,country,,
She's Kinda Hot,5 Seconds Of Summer,pop,,
Be Alright,Ariana Grande,pop,,
Still Here,Drake,Hip-Hop,,
From The Ground Up,Dan + Shay,?,,
Backroad Song,Granger Smith,?,,
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,?,,
Pt. 2,Kanye West,?,,
Downtown,Macklemore & Ryan Lewis Featuring Eric Nally,?, Kool Moe Dee & Grandmaster Caz,?
Lean On,Major Lazer & DJ Snake Featuring M0,?,,
Somebody To Love,Jordan Smith,?,,
Right Hand,Drake,Hip-Hop,,
Hold Each Other,A Great Big World Featuring FUTURISTIC,?,,
Whisper,Chase Rice,?,,
Wicked,Future,?,,
Cool For The Summer,Demi Lovato,pop,,
Blessings,Chance The Rapper,?,,
The Feeling,Justin Bieber Featuring Halsey,?,,
Hallelujah,Jordan Smith,?,,
I Took A Pill In Ibiza,Mike Posner,pop,,
Alive,Sia,pop,,
Already Callin' You Mine,Parmalee,?,,
Messin' Around,Pitbull Featuring Enrique Iglesias,?,,
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,?,,
Random,G-Eazy,Hip-Hop,,
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,?,,
Temporary Fix,One Direction,?,,
Halo,Jordan Smith,?,,
Let Me See Ya Girl,Cole Swindell,country,,
Panda,Desiigner,Hip-Hop,,
Uptown Funk!,Mark Ronson Featuring Bruno Mars,?,,
Smoke Break,Carrie Underwood,country,,
See You Again,Wiz Khalifa Featuring Charlie Puth,?,,
Come Get Her,Rae Sremmurd,Hip-Hop,,
Save It For A Rainy Day,Kenny Chesney,?,,
Beautiful Drug,Zac Brown Band,?,,
Jersey,Future,?,,
Antidote,Travi$ Scott,?,,
Remedy,Adele,?,,
Wake Up,Fetty Wap,?,,
Burning House,Emily Ann Roberts,?,,
Jumpman,Drake & Future,?,,
American Country Love Song,Jake Owen,?,,
Come And See Me,PARTYNEXTDOOR Featuring Drake,?,,
Under Pressure,Queen & David Bowie,?,,
The Fighter,Keith Urban Featuring Carrie Underwood,?,,
Hell Of A Night,Dustin Lynch,?,,
Forward,Beyonce Featuring James Blake,?,,
House Party,Sam Hunt,country,,
You Don't Own Me,Grace Featuring G-Eazy,pop,,
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,pop,,
My Way,Fetty Wap Featuring Monty,Hip-Hop,,
