song,artist,labels
Hit The Quan,iLoveMemphis,Sony Music
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,Sony Music Latin
Never Forget You,Zara Larsson & MNEK,Record Company TEN
I Got The Boy,Jana Kramer,?
Love Myself,Hailee Steinfeld,Republic Records
Me, Myself & I,G-Eazy x Bebe Rexha,?
Noise,Kenny Chesney,?
Don't Let Me Down,The Chainsmokers Featuring Daya,Disruptor Records
No Sense,Justin Bieber Featuring Travi$ Scott,?
Down In The DM,Yo Gotti Featuring Nicki Minaj,Sony Music
I'll Show You,Justin Bieber,?
Jugg,Fetty Wap Featuring Monty,?
Every Breath You Take,Hannah Huston,?
T-Shirt,Thomas Rhett,?
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,?
Back To Sleep,Chris Brown,?
Little More (Royalty),Chris Brown,?
7 Years,Lukas Graham,Warner Bros. Records
Trap Queen,Fetty Wap,RGF Productions
We Are,Justin Bieber Featuring Nas,?
Exchange,Bryson Tiller,Sony Music
White Iverson,Post Malone,Not On Label
Zero,Chris Brown,?
Best Friend,Young Thug,?
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,?
Trust,Justin Bieber,?
Make Me Like You,Gwen Stefani,Interscope Records
Hold Up,Beyonce,?
Pop Style,Drake Featuring The Throne,Young Money Entertainment
Levels,Nick Jonas,?
Hit The Quan,iHeartMemphis,?
Faithful,Drake Featuring Pimp C & dvsn,?
About You,Trey Songz,?
Try Everything,Shakira,Walt Disney Records
Bet You Can't Do It Like Me,DLOW,?
Saved,Ty Dolla $ign Featuring E-40,?
John Cougar, John Deere, John 3:16,Keith Urban,Hit Red Records
Mr. Misunderstood,Eric Church,EMI
Might Be,Luke Nasty,?
Love Yourself,Justin Bieber,?
No Pressure,Justin Bieber Featuring Big Sean,?
Rockin' Around The Christmas Tree,Brenda Lee,MCA Records
Love Drought,Beyonce,?
Daddy,PSY Featuring CL,?
Too Good,Drake Featuring Rihanna,?
Fast Car,Jonas Blue Featuring Dakota,Universal Music Group
Snapback,Old Dominion,?
I'm Sorry,Adam Wakefield,?
Strip It Down,Luke Bryan,?
New Romantics,Taylor Swift,?
Emperor's New Clothes,Panic! At The Disco,?
Jam,Kevin Gates Featuring Trey Songz, Ty Dolla $ign &  Jamie Foxx,?
The Sound Of Silence,Disturbed,Reprise Records
Somewhere On A Beach,Dierks Bentley,?
30 For 30 Freestyle,Drake,?
I Hate U I Love U,gnash Featuring Olivia O'Brien,Warner Dance Labels
Youth,Troye Sivan,EMI Recorded Music Australia Pty Ltd
Hotline Bling,Drake,Not On Label
