song,artist,listeners,play count,,
Hit The Quan,iLoveMemphis,1291,3899,,
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,?,?,,
Never Forget You,Zara Larsson & MNEK,?,?,,
I Got The Boy,Jana Kramer,13678,57598,,
Love Myself,Hailee Steinfeld,109559,659133,,
Me, Myself & I,0,0,0,
Noise,Kenny Chesney,3297,9665,,
Don't Let Me Down,The Chainsmokers Featuring Daya,85075,412248,,
No Sense,Justin Bieber Featuring Travi$ Scott,40736,161452,,
Down In The DM,Yo Gotti Featuring Nicki Minaj,23191,78623,,
I'll Show You,Justin Bieber,100751,561672,,
Jugg,Fetty Wap Featuring Monty,221,846,,
Every Breath You Take,Hannah Huston,12,28,,
T-Shirt,Thomas Rhett,6576,29312,,
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,21944,79729,,
Back To Sleep,Chris Brown,20187,73814,,
Little More (Royalty),Chris Brown,4414,18238,,
7 Years,Lukas Graham,151503,1069031,,
Trap Queen,Fetty Wap,190502,1191607,,
We Are,Justin Bieber Featuring Nas,27057,89598,,
Exchange,Bryson Tiller,37455,169476,,
White Iverson,Post Malone,67280,354704,,
Zero,Chris Brown,19609,120271,,
Best Friend,Young Thug,21169,102064,,
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,9807,22771,,
Trust,Justin Bieber,33483,117906,,
Make Me Like You,Gwen Stefani,33413,257915,,
Hold Up,Beyonce,0,0,,
Pop Style,Drake Featuring The Throne,52893,204104,,
Levels,Nick Jonas,47713,282707,,
Hit The Quan,iHeartMemphis,86,447,,
Faithful,Drake Featuring Pimp C & dvsn,12203,27618,,
About You,Trey Songz,13212,47248,,
Try Everything,Shakira,7867,51743,,
Bet You Can't Do It Like Me,DLOW,?,?,,
Saved,Ty Dolla $ign Featuring E-40,367,1476,,
John Cougar, John Deere,16032,101788,16032,101788
Mr. Misunderstood,Eric Church,8085,31001,,
Might Be,Luke Nasty,5562,11943,,
Love Yourself,Justin Bieber,183889,1578723,,
No Pressure,Justin Bieber Featuring Big Sean,47346,188711,,
Rockin' Around The Christmas Tree,Brenda Lee,279177,820018,,
Love Drought,Beyonce,?,?,,
Daddy,PSY Featuring CL,522,4734,,
Too Good,Drake Featuring Rihanna,34926,113560,,
Fast Car,Jonas Blue Featuring Dakota,4029,21453,,
Snapback,Old Dominion,6830,29398,,
I'm Sorry,Adam Wakefield,12,58,,
Strip It Down,Luke Bryan,12351,60373,,
New Romantics,Taylor Swift,63826,1047088,,
Emperor's New Clothes,Panic! At The Disco,45642,406951,,
Jam,Kevin Gates Featuring Trey Songz,54,198,198,
The Sound Of Silence,Disturbed,50621,329296,,
Somewhere On A Beach,Dierks Bentley,6257,25389,,
30 For 30 Freestyle,Drake,26493,104198,,
I Hate U I Love U,gnash Featuring Olivia O'Brien,517,2300,,
Youth,Troye Sivan,91930,640593,,
Hotline Bling,Drake,255739,2184946,,
Ride,twenty one pilots,94860,657231,,
Lean & Dabb,iLoveMemphis,?,?,,
Middle,DJ Snake Featuring Bipolar Sunshine,92414,455190,,
Pray You Catch Me,Beyonce,?,?,,
Locked Away,R. City Featuring Adam Levine,0,0,,
A.M.,One Direction,17476,142738,,
Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,16757,64388,,
Pillowtalk,Zayn,133308,1286972,,
History,One Direction,50502,389515,,
Again,Fetty Wap,53549,219731,,
Used To Love You,Gwen Stefani,36547,255253,,
All I Ask,Adele,41490,333623,,
Rich $ex,Future,18035,80335,,
Head Over Boots,Jon Pardi,3518,14540,,
Little Red Corvette,Prince,290700,1085087,,
Down In The DM,Yo Gotti,23191,78623,,
You Should Be Here,Cole Swindell,4969,23634,,
Great Is Thy Faithfulness,Jordan Smith,50,184,,
FML,Kanye West,60112,368673,,
Break On Me.,Keith Urban,132,1071,,
THat Part,ScHoolboy Q Featuring Kanye West,8351,23069,,
Girls Just Want To Have Fun,Madi Davis,209,558,,
Ophelia,The Lumineers,76885,306435,,
Gonna Know We Were Here,Jason Aldean,7257,33117,,
Space Oddity,David Bowie,665299,3988644,,
Cut It,O.T. Genasis Featuring Young Dolph,58,181,,
Fire & Desire,Drake,?,?,,
Into You,Ariana Grande,37844,563179,,
Water Under The Bridge,Adele,45987,377092,,
Climb Every Mountain,Jordan Smith,58,246,,
