song,artist,genre
Are You Sincere,Andy Williams,3243,6985
Chanson D'Amour,Art and Dotty Todd,1380,4400
Chantilly Lace,Big Bopper,69856,220716
Sail Along Silvery Moon,Billy Vaughn,17792,55314
Raunchy,Billy Vaughn,2912,7101
Queen of the Hop,Bobby Darin,34164,74620
Splish Splash,Bobby Darin,95918,252773
Over And Over,Bobby Day,5878,14091
Do You Want To Dance?,Bobby Freeman,663,1615
Peggy Sue,Buddy Holly,199664,655094
Tequila,Champs,6558,20035
Maybe,Chantels,2375,7305
Lollipop,Chordettes,87232,343606
Sweet Little Sixteen,Chuck Berry,154745,434541
Johnny B Goode,Chuck Berry,576640,2513891
What Am I Living For,Chuck Willis,3876,8941
Yakety Yak,Coasters,91046,281774
Who's Sorry Now,Connie Francis,36982,100702
It's Only Make Believe,Conway Twitty,50472,142370
Oh Julie,Crescendos,2182,5462
Oh Boy,Crickets,8580,18315
At The Hop,Danny and The Juniors,89482,297452
Witch Doctor,David Seville,12536,36373
Return To Me,Dean Martin,35181,105989
The Stroll,Diamonds,855,2180
Volare (Nel Blu Dipinto Di Blu),Domenico Modugno,31333,108617
Oh Lonesome Me,Don Gibson,24555,66175
Rebel-'Rouser,Duane Eddy,2036,5720
The End,Earl Grant,3304,9884
For Your Love,Ed Townsend,1626,4486
Summertime Blues,Eddie Cochran,239351,775919
Little Star,Elegants,25728,82125
Don't Ask Me Why,Elvis Presley,13420,32199
One Night,Elvis Presley,135640,437629
I Beg Of You,Elvis Presley,15383,40844
Don't,Elvis Presley,134524,435634
Hard-Headed Woman,Elvis Presley,135449,453248
Doncha' Think It's Time,Elvis Presley,7751,18429
Wear My Ring Around Your Neck,Elvis Presley,62184,191221
I Got Stung,Elvis Presley,37052,119317
Devoted To You,Everly Brothers,31507,81236
All I Have To Do Is Dream,Everly Brothers,205638,782449
Problems,Everly Brothers,25436,56261
Bird Dog ,Everly Brothers,?,?
Claudette,Everly Brothers,35811,79940
26 Miles,Four Preps,2294,5830
Big Man,Four Preps,6413,16674
All the Way,Frank Sinatra,115423,361954
Witchcraft,Frank Sinatra ,119579,391374
I'll Wait For You,Frankie Avalon,4879,11865
Dede Dinah,Frankie Avalon,4269,10042
Ginger Bread,Frankie Avalon,5389,12347
Why Don't They Understand,George Hamilton Iv,2442,5315
Buzz-Buzz-Buzz,Hollywood Flames,2684,8055
My True Love,Jack Scott,16081,37204
Leroy,Jack Scott,15203,36263
Breathless,Jerry Lee Lewis,66296,159874
Great Balls Of Fire,Jerry Lee Lewis,319011,1113992
Secretly,Jimmie Rodgers,10947,21230
Kisses Sweeter Than Wine,Jimmie Rodgers,38490,99756
Just A Dream,Jimmy Clanton,13138,31913
The Walk,Jimmy McCracklin,11999,26429
Ballad of a Teenage Queen,Johnny Cash,114690,350928
Guess Things Happen That Way,Johnny Cash,196945,699393
Willie and the Hand Jive,Johnny Otis Show,7496,18126
When,Kalin Twins,8694,26169
Tom Dooley,Kingston Trio,36361,105844
He's Got The Whole World In His Hands,Laurie London,2865,8396
Tears On My Pillow,Little Anthony and The Imperials,34127,105880
Lazy Mary,Lou Monte,4418,13717
Sugartime,McGuire Sisters,1153,3031
March From the River Kwai and Colonel Bogey March,Mitch Miller,7,11
Book Of Love,Monotones,36566,111653
Looking Back,Nat King Cole,16247,40824
Western Movies,Olympics,1436,4069
It's Too Soon To Know,Pat Boone,1913,4100
Sugar Moon,Pat Boone,2643,5441
April Love,Pat Boone,18926,44221
Wonderful Time Up There,Pat Boone,155,441
You Are My Destiny,Paul Anka,28449,92235
Fever,Peggy Lee,307962,1026843
Patricia,Perez Prado,17638,51626
Catch A Falling Star,Perry Como,71163,186711
Magic Moments,Perry Como,152728,473429
Kewpie Doll,Perry Como,2821,7392
Twilight Time,Platters,46249,150922
Born Too Late,Poni Tails,8176,26532
Lonesome Town,Rick Nelson,57166,165435
Poor Little Fool,Ricky Nelson,50095,126063
Waitin' In School,Ricky Nelson,13491,30210
Stood Up,Ricky Nelson,29012,64524
I Got a Feeling,Ricky Nelson,9294,19907
Susie Darlin',Robin Luke,4683,12324
Near You,Roger Williams,3452,8316
Don't Let Go,Roy Hamilton,9689,24488
Short Shorts,Royal Teens,2903,7772
Poor Boy,Royaltones,1200,2852
The Purple People Eater,Sheb Wooley,23905,60642
Get A Job,Silhouettes,4483,11645
To Know Him Is To Love Him,Teddy Bears,5909,18529
It's All In The Game,Tommy Edwards,26174,81708
Liechtensteiner Polka,Will Glahe,423,919
Hawaiian Wedding Song,Andy Williams,3754,7471
Lonely Street,Andy Williams,5808,12022
Tall Paul,Annette,979,2201
I've Had It,Bell Notes,2443,6958
The All American Boy,Bill Parsons,1899,4053
Gotta Travel On,Billy Grammer,1741,4707
Mack The Knife,Bobby Darin,186002,566231
Dream Lover,Bobby Darin,138422,466747
Kissin' Time,Bobby Rydell,8777,18605
It's Just A Matter Of Time,Brook Benton,13666,34685
Endlessly,Brook Benton,7685,18913
The Three Bells,Browns,7615,23470
My Heart Is An Open Book,Carl Dobkins Jr.,3096,9270
Petite Fleur,Chris Barber's Jazz Band,6597,21228
A Lover's Question,Clyde Mcphatter,19424,53715
Along Came Jones,Coasters,16174,41431
Charlie Brown,Coasters,45799,127750
Poison Ivy,Coasters,36544,114982
My Happiness,Connie Francis,20736,57690
Frankie,Connie Francis,8300,30246
Lipstick On Your Collar,Connie Francis,42950,126525
16 Candles,Crests,1073,3452
The Happy Organ,"Dave ""Baby"" Cortez",?,?
Don't You Know,Della Reese,8877,20466
What A Diff'rence A Day Makes,Dinah Washington,10059,29260
A Teenager In Love,Dion and The Belmonts,1,5
There Goes My Baby,Drifters,79425,227522
Forty Miles Of Bad Road,Duane Eddy,16025,42636
My Wish Came True,Elvis Presley,10420,24851
(Now And Then There's) A Fool Such As I,Elvis Presley,73165,229172
A Big Hunk O' Love,Elvis Presley,118257,387993
I Need Your Love Tonight,Elvis Presley,40366,128435
In The Mood,Ernie Fields Orchestra,676,1587
Take A Message To Mary,Everly Brothers,19670,44255
('Til) I Kissed You,Everly Brothers,20211,55743
Tiger,Fabian,8583,22387
Turn Me Loose,Fabian,4600,11085
You're So Fine,Falcons,1378,3211
I Want To Walk You Home,Fats Domino,28179,67437
So Fine,Fiestas,9035,26258
I Only Have Eyes For You,Flamingos,101856,405085
Mr. Blue,Fleetwoods,13817,42191
Come Softly To Me,Fleetwoods,40562,143781
Only You,Franck Pourcel,3500,8954
High Hopes,Frank Sinatra ,32209,97853
A Boy Without A Girl,Frankie Avalon,2097,5209
Bobby Sox To Stockings,Frankie Avalon,6181,15210
Venus,Frankie Avalon,56129,174919
Just Ask Your Heart,Frankie Avalon,4369,10381
Sea Cruise,Frankie Ford,24169,67744
Heartaches By The Number,Guy Mitchell,21558,70356
Sorry (I Ran All The Way Home),Impalas,11036,33338
Morgen,Ivo Robic,5515,16217
Goodbye Baby,Jack Scott,12870,30079
Lonely Teardrops,Jackie Wilson,66608,200686
That's Why,Jackie Wilson,2515,5416
Baby Talk,Jan and Dean,13770,31762
Primrose Lane,Jerry Wallace,3666,8563
Red River Rock,Johnny and The Hurricanes,42421,131264
The Battle Of New Orleans,Johnny Horton,42695,124780
The Tijuana Jail,Kingston Trio,7020,16903
I Cried A Tear,Lavern Baker,7468,17800
I'm Gonna Get Married,Lloyd Price,11973,23744
Stagger Lee,Lloyd Price,69394,183789
Personality,Lloyd Price,34922,88237
Quiet Village,Martin Denny,22896,65076
Battle Hymn Of The Republic,Mormon Tabernacle Choir,7023,15924
Put Your Head On My Shoulder,Paul Anka,59924,202939
Lonely Boy,Paul Anka,22876,60751
Sea Of Love,Phil Phillips and The Twilights,37220,148287
Smoke Gets In Your Eyes,Platters,93652,321980
Enchanted,Platters,17055,43714
Bongo Rock,Preston Epps,7516,19661
Peter Gunn Theme,Ray Anthony,19764,44630
What'd I Say,Ray Charles,157586,472074
Sweeter Than You,Ricky Nelson,9254,22584
Never Be Anyone Else But You,Ricky Nelson,22724,57182
It's Late,Ricky Nelson,27837,62934
Just A Little Too Much,Ricky Nelson,8023,17114
Donna,Ritchie Valens,62178,199681
Teen Beat,Sandy Nelson,13658,36223
Sleep Walk,Santo and Johnny,31753,143705
Broken-hearted Melody,Sarah Vaughan,7721,17148
It Was I,Skip and Flip,1810,5324
Since I Don't Have You,Skyliners,49968,177345
Waterloo,Stonewall Jackson,13016,33451
Tragedy,Thomas Wayne,2791,6888
Guitar Boogie Shuffle,Virtues,875,1886
Kansas City,Wilbert Harrison,23691,66123
Deck Of Cards,Wink Martindale,2269,6167
The Village Of St. Bernadette,Andy Williams,2266,5109
In My Little Corner Of The World,Anita Bryant,859,34923
O Dio Mio,Annette,266,587
Money,Barret Strong,5369,15452
White Silver Sands,Bill Black's Combo,1954,5052
Let The Little Girl Dance,Billy Bland,3684,10661
Let's Think About Livin',Bob Luman,2595,5078
Beyond The Sea,Bobby Darin,224508,861334
Little Bitty Girl,Bobby Rydell,5437,11331
Wild One,Bobby Rydell,23339,56446
Swingin' School,Bobby Rydell,11162,23451
Devil Or Angel,Bobby Vee,29223,69487
I'm Sorry,Brenda Lee,63959,192843
I Want To Be Wanted,Brenda Lee,7942,21460
That's All You Gotta Do,Brenda Lee,9673,23611
Sweet Nothin's,Brenda Lee,33634,96424
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,3920,10849
Kiddio,Brook Benton,8970,20374
Greenfields,Brothers Four,16524,64663
The Old Lamplighter,Browns,2319,6047
Lonely Weekends,Charlie Rich,15799,35587
The Twist,Chubby Checker,160135,496081
Mama,Connie Francis,6480,15399
Among My Souvenirs,Connie Francis,14060,41184
My Heart Has A Mind Of Its Own,Connie Francis,7538,19844
Everybody's Somebody's Fool,Connie Francis,39334,109816
Lonely Blue Boy,Conway Twitty,19331,47708
Step By Step,Crests,1059,3391
A Rockin' Good Way,Dinah Washington and Brook Benton,2286,8401
Where Or When,Dion and The Belmonts,20795,54126
Mission Bell,Donnie Brooks,3169,9152
Save The Last Dance For Me,Drifters,133855,433603
Because They're Young,Duane Eddy,19431,48121
Mack the Knife,Ella Fitzgerald,101587,250635
It's Now Or Never,Elvis Presley,194647,713902
Stuck On You,Elvis Presley,153734,531041
Let It Be Me,Everly Brothers,44635,124499
So Sad,Everly Brothers,8985,17843
When Will I Be Loved,Everly Brothers,33800,88745
Cathy's Clown,Everly Brothers,101385,287024
Walking To New Orleans,Fats Domino,37136,92288
Mule Skinner Blues,Fendermen,7042,21283
Theme From The Apartment,Ferrante and Teicher,1878,4345
Down By The Station,Four Preps,1931,4879
Nice 'n Easy,Frank Sinatra ,?,?
Why,Frankie Avalon,13788,37595
Way Down Yonder In New Orleans,Freddie Cannon,529,1203
Finger Poppin' Time,Hank Ballard and The Midnighters,370,1023
"Please Help Me, I'm Falling",Hank Locklin,?,?
Alley Oop,Hollywood Argyles,4339,11317
Burning Bridges,Jack Scott,7770,16265
What In The World's Come Over You,Jack Scott,13351,29907
Night,Jackie Wilson,6265,15416
Doggin' Around,Jackie Wilson,13229,33513
He'll Have To Stay,Jeanne Black,1451,81052
He'll Have To Go,Jim Reeves,39548,112624
A Million To One,Jimmy Charles,3042,8147
Go Jimmy Go,Jimmy Clanton,8286,18164
Handy Man,Jimmy Jones,14537,41753
Good Timin',Jimmy Jones,17216,53948
You Talk Too Much,Joe Jones,7638,21184
Beatnik Fly,Johnny and The Hurricanes,12390,31167
Dreamin',Johnny Burnette,39694,92403
Sink The Bismark,Johnny Horton,11820,31761
Running Bear,Johnny Preston,24163,71254
Cradle Of Love,Johnny Preston,7002,20647
Poetry In Motion,Johnny Tillotson,76590,255260
Mr. Custer,Larry Verne,4747,11946
Forever,Little Dippers,1026,2787
Lady Luck,Lloyd Price,8826,17106
Teen Angel,Mark Dinning,22809,63544
El Paso,Marty Robbins,73328,249894
I Love The Way You Love,Marv Johnson,5984,11884
You've Got What It Takes,Marv Johnson,1144,2561
Stay,Maurice Williams,12385,35451
Stairway To Heaven,Neil Sedaka,16582,39322
It's Time To Cry,Paul Anka,3704,10806
Puppy Love,Paul Anka,23784,62842
My Home Town,Paul Anka,7069,18226
Happy-Go-Lucky Me,Paul Evans,256,1449
"Theme From ""A Summer Place""",Percy Faith,?,?
Harbor Lights,Platters,16070,38838
Georgia On My Mind,Ray Charles,394829,1379615
Tell Laura I Love Her,Ray Peterson,30773,88453
Young Emotions,Ricky Nelson,5989,13208
Love You So,Ron Holden,3259,8595
Only The Lonely,Roy Orbison,163215,553844
Chain Gang,Sam Cooke,163987,574406
Wonderful World,Sam Cooke,224953,850051
Cherry Pie,Skip and Flip,2635,6653
Pretty Blue Eyes,Steve Lawrence,16492,36626
Footsteps,Steve Lawrence,13282,27843
The Big Hurt,Toni Fisher,3417,8359
"Walk, Dont Run",Ventures,?,?
Take Good Care Of Her,Adam Wade,2595,6784
The Writing On The Wall,Adam Wade,2879,6510
Yellow Bird,Arthur Lyman,6695,16480
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann,?,?
Stand By Me,Ben E. King,498717,2486049
Spanish Harlem,Ben E. King,81659,217449
Mexico,Bob Moore,2933,7193
You Must Have Been A Beautiful Baby,Bobby Darin,13607,41869
One Track Mind,Bobby Lewis,3112,6344
Tossin' And Turnin',Bobby Lewis,19078,52813
Good Time Baby,Bobby Rydell,3529,7211
Take Good Care Of My Baby,Bobby Vee,71128,210986
Rubber Ball,Bobby Vee,51498,136833
You Can Depend On Me,Brenda Lee,7051,16352
Dum Dum,Brenda Lee,11384,27003
Think Twice,Brook Benton,3256,8160
The Boll Weevil Song,Brook Benton,4806,12263
Baby Sittin' Boogie,Buzz Clifford,2790,7700
Those Oldies But Goodies,Caesar and The Romans,4086,11040
There's A Moon Out Tonight,Capris,2010,6005
Gee Whiz (Look At His Eyes),Carla Thomas,25549,52317
I Like It Like That,Chris Kenner,25044,62526
The Fly,Chubby Checker,9918,22962
Let's Twist Again,Chubby Checker,138827,513146
Pony Time,Chubby Checker,17649,41835
Breakin' In A Brand New Broken Heart,Connie Francis,5202,13007
Where The Boys Are,Connie Francis,33120,104865
Pretty Little Angel Eyes,Curtis Lee,35853,109982
Take Five,Dave Brubeck,317003,1305514
Raindrops,Dee Clark,21135,52401
Hats Off To Larry,Del Shannon,41084,120873
Runaway,Del Shannon,270745,1170020
The Mountain's High,Dick and Deedee,3811,13092
Runaround Sue,Dion,124452,462203
Sea Of Heartbreak,Don Gibson,21060,65176
Bristol Stomp,Dovells,9696,29490
Please Stay,Drifters,16555,39449
Baby Blue,Echoes,886,2765
I'm Gonna Knock On Your Door,Eddie Hodges,9049,27775
Are You Lonesome Tonight,Elvis Presley,113722,413422
Surrender,Elvis Presley,142556,482851
Little Sister,Elvis Presley,53594,190189
(Marie's The Name) His Latest Flame,Elvis Presley,83290,324256
Mother-In-Law,Ernie K-Doe,13718,35954
Walk Right Back,Everly Brothers,34084,95150
Hello Walls,Faron Young,35598,95666
Let The Four Winds Blow,Fats Domino,20700,46826
Wings Of A Dove,Ferlin Husky,16386,45431
Exodus,Ferrante and Teicher,3630,12233
